Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
22023,7,1,5803749.0,21036197.0,3625.0
32023,1,1,21000.0,157300.0,7490.0
32023,2,1,114965.0,197400.0,1717.0
32023,5,1,387200.0,3758800.0,9708.0
32023,7,1,5816700.0,22322000.0,3838.0
42023,1,1,21000.0,157400.0,7495.0
42023,2,1,114965.0,197600.0,1719.0
42023,5,1,385800.0,3793000.0,9832.0
42023,7,1,5815800.0,22517400.0,3872.0
52023,1,1,21000.0,160300.0,7633.0
52023,2,1,115400.0,198200.0,1718.0
52023,5,1,385300.0,3827500.0,9934.0
52023,7,1,5832400.0,22479100.0,3854.0
62023,1,1,21000.0,160300.0,7633.0
62023,2,1,115400.0,198200.0,1718.0
62023,5,1,385300.0,3827500.0,9934.0
62023,7,1,5832400.0,22479100.0,3854.0
72023,1,1,21000.0,160500.0,7643.0
72023,2,1,115900.0,199000.0,1717.0
72023,5,1,384700.0,3817800.0,9924.0
72023,7,1,5834700.0,22544500.0,3864.0
82023,1,1,21200.0,162000.0,7642.0
82023,2,1,115900.0,199000.0,1717.0
82023,5,1,379100.0,3786800.0,9989.0
82023,7,1,5841400.0,22544900.0,3860.0
92023,1,1,20600.0,156200.0,7583.0
92023,2,1,115900.0,199000.0,1717.0
92023,5,1,379100.0,3784700.0,9983.0
92023,7,1,5832500.0,22505600.0,3859.0
102023,1,1,20600.0,156200.0,7583.0
102023,2,1,115900.0,199000.0,1717.0
102023,5,1,379100.0,3783500.0,9980.0
102023,7,1,5831500.0,22485000.0,3856.0
112023,1,1,20600.0,155200.0,7534.0
112023,2,1,115900.0,199000.0,1717.0
112023,5,1,379100.0,3783500.0,9980.0
112023,7,1,5831500.0,22511700.0,3860.0
122023,1,1,20600.0,156200.0,7583.0
122023,2,1,115900.0,199000.0,1717.0
122023,5,1,379100.0,3782300.0,9977.0
122023,7,1,5834000.0,22455000.0,3849.0
12024,1,1,19500.0,117500.0,6026.0
12024,2,1,112600.0,156400.0,1389.0
12024,5,1,291500.0,2611900.0,8960.0
12024,7,1,5822300.0,19369400.0,3327.0
22024,1,1,19500.0,125700.0,6446.0
22024,2,1,113000.0,167200.0,1480.0
22024,5,1,296500.0,2591500.0,8740.0
22024,7,1,5813300.0,18357900.0,3158.0
32024,1,1,20000.0,125500.0,6275.0
32024,2,1,113100.0,168700.0,1492.0
32024,5,1,296700.0,2548600.0,8590.0
32024,7,1,5815700.0,18449100.0,3172.0
42024,1,1,19000.0,126600.0,6663.0
42024,2,1,113800.0,171600.0,1508.0
42024,5,1,296300.0,2526600.0,8527.0
42024,7,1,5814700.0,18474800.0,3177.0
52024,1,1,19500.0,129200.0,6626.0
52024,2,1,113800.0,170300.0,1496.0
52024,5,1,296400.0,2552800.0,8613.0
52024,7,1,5819100.0,18512700.0,3181.0
62024,1,1,18200.0,119300.0,6555.0
62024,2,1,114800.0,172300.0,1501.0
62024,5,1,297200.0,2555600.0,8599.0
62024,7,1,5819700.0,18570200.0,3191.0
72024,1,1,19500.0,120600.0,6185.0
72024,2,1,107800.0,160400.0,1488.0
72024,5,1,296000.0,2543000.0,8591.0
72024,7,1,5824800.0,18657300.0,3203.0
82024,1,1,19500.0,120600.0,6185.0
82024,2,1,107800.0,160400.0,1488.0
82024,5,1,296000.0,2543100.0,8592.0
82024,7,1,5835400.0,18687700.0,3202.0
92024,1,1,19500.0,121700.0,6241.0
92024,2,1,107800.0,160400.0,1488.0
92024,5,1,294400.0,2524500.0,8575.0
92024,7,1,5835100.0,18639100.0,3194.0
102024,1,1,19500.0,121700.0,6241.0
102024,2,1,107800.0,160400.0,1488.0
102024,5,1,294400.0,2524800.0,8576.0
102024,7,1,5835100.0,18639000.0,3194.0
112024,1,1,19500.0,130200.0,6677.0
112024,2,1,107800.0,160400.0,1488.0
112024,5,1,294400.0,2525000.0,8577.0
112024,7,1,5835000.0,18643100.0,3195.0
122024,1,1,19500.0,130200.0,6677.0
122024,2,1,107800.0,160400.0,1488.0
122024,5,1,294400.0,2525000.0,8577.0
122024,7,1,5835000.0,18643000.0,3195.0
12016,1,2,147601.0,1064326.0,7211.0
12016,2,2,46355.0,93030.0,2007.0
12016,5,2,370000.0,2775000.0,7500.0
12016,7,2,635000.0,2095500.0,3300.0
22016,1,2,147601.0,1064326.0,7211.0
22016,2,2,46355.0,93030.0,2007.0
