Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
102015,6,1,1924854.0,11284993.0,5863.0
102015,7,1,5207082.0,17145020.0,3293.0
102015,8,1,1337637.0,3535959.0,2643.0
102015,9,1,78189.0,184636.0,2361.0
112015,1,1,28144.0,164543.0,5846.0
112015,2,1,192762.0,332147.0,1723.0
112015,3,1,209915.0,392083.0,1868.0
112015,4,1,5110.0,4840.0,947.0
112015,5,1,542386.0,4688823.0,8645.0
112015,6,1,1924854.0,11284993.0,5863.0
112015,7,1,5207082.0,17145020.0,3293.0
112015,8,1,1336887.0,3427466.0,2564.0
112015,9,1,78189.0,184636.0,2361.0
122015,1,1,28144.0,164543.0,5846.0
122015,2,1,192762.0,332147.0,1723.0
122015,3,1,209915.0,392083.0,1868.0
122015,4,1,5110.0,4840.0,947.0
122015,5,1,542386.0,4688823.0,8645.0
122015,6,1,1924854.0,11284993.0,5863.0
122015,7,1,5207082.0,17145020.0,3293.0
122015,8,1,1339889.0,3333171.0,2488.0
122015,9,1,78189.0,184636.0,2361.0
012016,1,1,26306.0,148799.0,5656.0
012016,2,1,180474.0,325814.0,1805.0
012016,3,1,272197.0,401054.0,1473.0
012016,4,1,4913.0,5262.0,1071.0
012016,5,1,429231.0,3692023.0,8601.0
012016,6,1,1897198.0,10378043.0,5470.0
012016,7,1,5373198.0,18297273.0,3405.0
012016,8,1,1356958.0,3869723.0,2852.0
012016,9,1,73606.0,171000.0,2323.0
022016,1,1,26286.0,148467.0,5648.0
022016,2,1,180149.0,284549.0,1580.0
022016,3,1,210492.0,406945.0,1933.0
022016,4,1,4913.0,5262.0,1071.0
022016,5,1,423471.0,3522269.0,8318.0
022016,6,1,2063415.0,11999966.0,5816.0
022016,7,1,5375431.0,17768012.0,3305.0
022016,8,1,1356958.0,3869723.0,2852.0
022016,9,1,73706.0,157007.0,2130.0
032016,1,1,26260.0,141857.0,5402.0
032016,2,1,180149.0,284549.0,1580.0
032016,3,1,210816.0,410103.0,1945.0
032016,4,1,2676.0,4738.0,1771.0
032016,5,1,423890.0,3448940.0,8136.0
032016,6,1,2153483.0,12638803.0,5869.0
032016,7,1,5442435.0,17193813.0,3159.0
032016,8,1,1198205.0,3600164.0,3005.0
032016,9,1,73715.0,148992.0,2021.0
042016,1,1,26260.0,141857.0,5402.0
042016,2,1,180149.0,284549.0,1580.0
042016,3,1,210816.0,410103.0,1945.0
042016,4,1,2676.0,4738.0,1771.0
042016,5,1,423695.0,3409668.0,8047.0
042016,6,1,2207068.0,12398712.0,5618.0
042016,7,1,5445370.0,17100496.0,3140.0
042016,8,1,1155605.0,3476333.0,3008.0
042016,9,1,73715.0,148992.0,2021.0
052016,1,1,26254.0,141771.0,5400.0
052016,2,1,180149.0,284549.0,1580.0
052016,3,1,205459.0,318262.0,1549.0
052016,4,1,5199.0,6017.0,1157.0
052016,5,1,423695.0,3406860.0,8041.0
052016,6,1,2205925.0,12209986.0,5535.0
052016,7,1,5445370.0,17100496.0,3140.0
052016,8,1,1148251.0,3471037.0,3023.0
052016,9,1,73715.0,148992.0,2021.0
062016,1,1,26254.0,141771.0,5400.0
062016,2,1,180149.0,284549.0,1580.0
062016,3,1,207425.0,312336.0,1506.0
062016,4,1,5199.0,6017.0,1157.0
062016,5,1,423695.0,3406860.0,8041.0
062016,6,1,2191631.0,11408211.0,5205.0
062016,7,1,5444891.0,16969660.0,3117.0
062016,8,1,1131432.0,3400796.0,3006.0
062016,9,1,73715.0,148992.0,2021.0
072016,1,1,26254.0,141771.0,5400.0
072016,2,1,180149.0,284549.0,1580.0
072016,3,1,207425.0,312336.0,1506.0
072016,4,1,5199.0,6017.0,1157.0
072016,5,1,423695.0,3406860.0,8041.0
072016,6,1,2196169.0,11232849.0,5115.0
072016,7,1,5444891.0,16969660.0,3117.0
072016,8,1,1095754.0,3347529.0,3055.0
072016,9,1,73715.0,148992.0,2021.0
082016,1,1,26254.0,141771.0,5400.0
082016,2,1,180149.0,284549.0,1580.0
082016,3,1,207425.0,312336.0,1506.0
082016,4,1,5199.0,6017.0,1157.0
082016,5,1,423695.0,3406860.0,8041.0
082016,6,1,2198309.0,10910484.0,4963.0
082016,7,1,5444891.0,16969660.0,3117.0
082016,8,1,1081784.0,3301870.0,3052.0
082016,9,1,73715.0,148992.0,2021.0
092016,1,1,26254.0,141771.0,5400.0
092016,2,1,180149.0,284549.0,1580.0
092016,3,1,207425.0,312336.0,1506.0
092016,4,1,5199.0,6017.0,1157.0
092016,5,1,423695.0,3406860.0,8041.0
092016,6,1,2198799.0,10517283.0,4783.0
092016,7,1,5444891.0,16969660.0,3117.0
092016,8,1,1083534.0,3245016.0,2995.0
092016,9,1,73715.0,148992.0,2021.0
102016,1,1,26254.0,141771.0,5400.0
102016,2,1,180149.0,284549.0,1580.0
102016,3,1,207425.0,312336.0,1506.0
102016,4,1,5199.0,6017.0,1157.0
102016,5,1,423695.0,3406860.0,8041.0
102016,6,1,2198799.0,10517283.0,4783.0
102016,7,1,5444891.0,16969660.0,3117.0
102016,8,1,1084194.0,3270518.0,3017.0
102016,9,1,73715.0,148992.0,2021.0
112016,1,1,26254.0,141771.0,5400.0
112016,2,1,180149.0,284549.0,1580.0
112016,3,1,207425.0,312336.0,1506.0
112016,4,1,5199.0,6017.0,1157.0
112016,5,1,423695.0,3406860.0,8041.0
112016,6,1,2198799.0,10517283.0,4783.0
112016,7,1,5444891.0,16969660.0,3117.0
112016,8,1,1084294.0,3383850.0,3121.0
112016,9,1,73715.0,148992.0,2021.0
122016,1,1,26107.0,117472.0,4500.0
122016,2,1,184854.0,294005.0,1590.0
122016,3,1,204177.0,303909.0,1488.0
122016,4,1,4663.0,2194.0,471.0
122016,5,1,413440.0,3303508.0,7990.0
122016,6,1,2197893.0,10420666.0,4741.0
122016,7,1,5449462.0,16824385.0,3087.0
122016,8,1,1084294.0,3383850.0,3121.0
122016,9,1,73696.0,147991.0,2008.0
012017,1,1,25848.0,161921.0,6264.0
012017,2,1,197931.0,350139.0,1769.0
012017,3,1,218378.0,405511.0,1857.0
012017,4,1,4913.0,5262.0,1071.0
012017,5,1,500587.0,4400229.0,8790.0
012017,6,1,2301622.0,13479636.0,5857.0
012017,7,1,5349774.0,18524206.0,3463.0
012017,8,1,1084294.0,2880969.0,2657.0
012017,9,1,78911.0,186121.0,2359.0
022017,1,1,25076.0,161636.0,6446.0
022017,2,1,197981.0,361644.0,1827.0
022017,3,1,221478.0,407771.0,1841.0
022017,4,1,4913.0,5262.0,1071.0
022017,5,1,500587.0,4434675.0,8859.0
022017,6,1,2281422.0,13370101.0,5860.0
022017,7,1,5355174.0,18809432.0,3512.0
022017,8,1,1356958.0,3869723.0,2852.0
022017,9,1,77984.0,183736.0,2356.0
032017,1,1,24876.0,162716.0,6541.0
032017,2,1,197981.0,361644.0,1827.0
032017,3,1,229660.0,424341.0,1848.0
032017,4,1,3277.0,3258.0,994.0
032017,5,1,502747.0,4609003.0,9168.0
032017,6,1,2350592.0,13665541.0,5814.0
032017,7,1,5353745.0,19234633.0,3593.0
032017,8,1,1048910.0,3295429.0,3142.0
032017,9,1,77984.0,184016.0,2360.0
042017,1,1,24876.0,162716.0,6541.0
042017,2,1,197981.0,361644.0,1827.0
042017,3,1,229660.0,424341.0,1848.0
042017,4,1,3277.0,3258.0,994.0
042017,5,1,502806.0,4646548.0,9241.0
042017,6,1,2377932.0,13877010.0,5836.0
042017,7,1,5363973.0,19584146.0,3651.0
042017,8,1,998980.0,3149806.0,3153.0
042017,9,1,77984.0,184016.0,2360.0
052017,1,1,25111.0,163078.0,6494.0
052017,2,1,194051.0,364687.0,1879.0
052017,3,1,237224.0,412023.0,1737.0
052017,4,1,4265.0,4394.0,1030.0
052017,5,1,503606.0,4765912.0,9464.0
052017,6,1,2391542.0,13827073.0,5782.0
052017,7,1,5252733.0,19536332.0,3719.0
052017,8,1,992470.0,3119737.0,3143.0
052017,9,1,77514.0,182897.0,2360.0
062017,1,1,25111.0,163078.0,6494.0
062017,2,1,194051.0,364687.0,1879.0
062017,3,1,237324.0,355078.0,1496.0
062017,4,1,4595.0,4798.0,1044.0
062017,5,1,503606.0,4765912.0,9464.0
062017,6,1,2395682.0,13864664.0,5787.0
062017,7,1,5253033.0,19618069.0,3735.0
062017,8,1,977320.0,3068680.0,3140.0
062017,9,1,77514.0,182897.0,2360.0
072017,1,1,25111.0,163078.0,6494.0
072017,2,1,193434.0,367848.0,1902.0
