Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
setembro 2020,15 Fumo,Santa Catarina,89403,89403,201714,2256
outubro 2020,1.4 Arroz,Santa Catarina,148988,148988,1216132,8163
outubro 2020,1.8 Feijao (1 Safra),Santa Catarina,34844,34854,62629,1797
outubro 2020,1.9 Feijao (2 Safra),Santa Catarina,21856,22118,35905,1643
outubro 2020,1.10 Feijao (3 Safra),Santa Catarina,,,,
outubro 2020,1.13 Milho (1 Safra),Santa Catarina,341280,342312,2699729,7911
outubro 2020,1.14 Milho (2 Safra),Santa Catarina,,,,
outubro 2020,1.15 Soja,Santa Catarina,664845,664845,2244245,3376
outubro 2020,1.17 Trigo,Santa Catarina,50887,50897,162070,3185
outubro 2020,15 Fumo,Santa Catarina,89403,89403,201714,2256
novembro 2020,1.4 Arroz,Santa Catarina,148988,148988,1216132,8163
novembro 2020,1.8 Feijao (1 Safra),Santa Catarina,34844,34854,62629,1797
novembro 2020,1.9 Feijao (2 Safra),Santa Catarina,21856,22118,35905,1643
novembro 2020,1.10 Feijao (3 Safra),Santa Catarina,,,,
novembro 2020,1.13 Milho (1 Safra),Santa Catarina,341280,342312,2699729,7911
novembro 2020,1.14 Milho (2 Safra),Santa Catarina,,,,
novembro 2020,1.15 Soja,Santa Catarina,664845,664845,2244245,3376
novembro 2020,1.17 Trigo,Santa Catarina,58022,58087,173417,2989
novembro 2020,15 Fumo,Santa Catarina,89403,89403,201714,2256
dezembro 2020,1.4 Arroz,Santa Catarina,148988,148988,1216132,8163
dezembro 2020,1.8 Feijao (1 Safra),Santa Catarina,34844,34854,62629,1797
dezembro 2020,1.9 Feijao (2 Safra),Santa Catarina,21856,22118,35905,1643
dezembro 2020,1.10 Feijao (3 Safra),Santa Catarina,,,,
dezembro 2020,1.13 Milho (1 Safra),Santa Catarina,341280,342312,2699729,7911
dezembro 2020,1.14 Milho (2 Safra),Santa Catarina,,,,
dezembro 2020,1.15 Soja,Santa Catarina,664845,664845,2244245,3376
dezembro 2020,1.17 Trigo,Santa Catarina,58022,58087,173417,2989
dezembro 2020,15 Fumo,Santa Catarina,89403,89403,201714,2256
janeiro 2021,1.4 Arroz,Santa Catarina,149137,149137,1166152,7819
janeiro 2021,1.8 Feijao (1 Safra),Santa Catarina,32774,32777,70594,2154
janeiro 2021,1.9 Feijao (2 Safra),Santa Catarina,21856,22118,34315,1570
janeiro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
janeiro 2021,1.13 Milho (1 Safra),Santa Catarina,346309,348021,2760641,7972
janeiro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
janeiro 2021,1.15 Soja,Santa Catarina,670394,670394,2368210,3533
janeiro 2021,1.17 Trigo,Santa Catarina,50887,50897,162075,3185
janeiro 2021,15 Fumo,Santa Catarina,89077,89292,198663,2230
fevereiro 2021,1.4 Arroz,Santa Catarina,149137,149137,1166152,7819
fevereiro 2021,1.8 Feijao (1 Safra),Santa Catarina,32774,32777,70594,2154
fevereiro 2021,1.9 Feijao (2 Safra),Santa Catarina,21856,22118,34315,1570
fevereiro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
fevereiro 2021,1.13 Milho (1 Safra),Santa Catarina,346309,348021,2760641,7972
fevereiro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
fevereiro 2021,1.15 Soja,Santa Catarina,670394,670394,2368210,3533
fevereiro 2021,1.17 Trigo,Santa Catarina,50887,50897,162075,3185
fevereiro 2021,15 Fumo,Santa Catarina,89077,89292,198663,2230
marco 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
marco 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
marco 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
marco 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
marco 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
marco 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
marco 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
marco 2021,1.17 Trigo,Santa Catarina,50000,50000,150000,3000
marco 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
abril 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
abril 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
abril 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
abril 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
abril 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
abril 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
abril 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
abril 2021,1.17 Trigo,Santa Catarina,50000,50000,150000,3000
abril 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
maio 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
maio 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
maio 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
maio 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
maio 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
maio 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
maio 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
maio 2021,1.17 Trigo,Santa Catarina,50000,50000,150000,3000
maio 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
junho 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
junho 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
junho 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
junho 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
junho 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
junho 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
junho 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
junho 2021,1.17 Trigo,Santa Catarina,50000,50000,150000,3000
junho 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
julho 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
julho 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
julho 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
julho 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
julho 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
julho 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
julho 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
julho 2021,1.17 Trigo,Santa Catarina,84651,84651,275638,3256
julho 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
agosto 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
agosto 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
agosto 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
agosto 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
agosto 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
agosto 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
agosto 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
agosto 2021,1.17 Trigo,Santa Catarina,84651,84651,275638,3256
agosto 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
setembro 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
setembro 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
setembro 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
setembro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
setembro 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
setembro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
setembro 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
setembro 2021,1.17 Trigo,Santa Catarina,84651,84651,275638,3256
setembro 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
outubro 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
outubro 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
outubro 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
outubro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
outubro 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
outubro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
outubro 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
outubro 2021,1.17 Trigo,Santa Catarina,84651,84651,275638,3256
outubro 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
novembro 2021,1.4 Arroz,Santa Catarina,147820,147820,1196140,8092
novembro 2021,1.8 Feijao (1 Safra),Santa Catarina,33562,33563,63856,1903
novembro 2021,1.9 Feijao (2 Safra),Santa Catarina,25872,25874,34001,1314
novembro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
novembro 2021,1.13 Milho (1 Safra),Santa Catarina,335844,339310,2006862,5976
novembro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
novembro 2021,1.15 Soja,Santa Catarina,688997,689005,2339080,3395
novembro 2021,1.17 Trigo,Santa Catarina,100090,100090,329312,3290
novembro 2021,15 Fumo,Santa Catarina,89488,89718,191676,2142
dezembro 2021,1.4 Arroz,Santa Catarina,147820,147820,1196140,8092
dezembro 2021,1.8 Feijao (1 Safra),Santa Catarina,33562,33563,63856,1903
dezembro 2021,1.9 Feijao (2 Safra),Santa Catarina,25872,25874,34001,1314
dezembro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
dezembro 2021,1.13 Milho (1 Safra),Santa Catarina,335844,339310,2006862,5976
dezembro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
dezembro 2021,1.15 Soja,Santa Catarina,688997,689005,2339080,3395
dezembro 2021,1.17 Trigo,Santa Catarina,100090,100090,329312,3290
dezembro 2021,15 Fumo,Santa Catarina,89488,89718,191676,2142
janeiro 2022,1.4 Arroz,Santa Catarina,148238,148238,1147352,7740
janeiro 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,65325,1950
janeiro 2022,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34912,1552
janeiro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
janeiro 2022,1.13 Milho (1 Safra),Santa Catarina,344098,344098,2408686,7000
janeiro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
janeiro 2022,1.15 Soja,Santa Catarina,727293,727293,2352183,3234
janeiro 2022,1.17 Trigo,Santa Catarina,84651,84651,264619,3126
janeiro 2022,15 Fumo,Santa Catarina,88419,88419,206928,2340
fevereiro 2022,1.4 Arroz,Santa Catarina,148238,148238,1147352,7740
fevereiro 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,65325,1950
fevereiro 2022,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34912,1552
fevereiro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
fevereiro 2022,1.13 Milho (1 Safra),Santa Catarina,344098,344098,2408686,7000
fevereiro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
fevereiro 2022,1.15 Soja,Santa Catarina,727293,727293,2352183,3234
fevereiro 2022,1.17 Trigo,Santa Catarina,84651,84651,264619,3126
fevereiro 2022,15 Fumo,Santa Catarina,88419,88419,206928,2340
marco 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
marco 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
marco 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
marco 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
marco 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
marco 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
marco 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
marco 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
marco 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
abril 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
abril 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
abril 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
abril 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
abril 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
abril 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
abril 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
abril 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
abril 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
maio 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
maio 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
maio 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
maio 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
maio 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
maio 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
maio 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
maio 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
maio 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
junho 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
junho 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
junho 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
junho 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
junho 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
junho 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
junho 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
junho 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
junho 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
julho 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
julho 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
julho 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
julho 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
julho 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
julho 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
julho 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
julho 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
julho 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
agosto 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
agosto 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
agosto 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
agosto 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
agosto 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
agosto 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
agosto 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
agosto 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
agosto 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
setembro 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
setembro 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
setembro 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
setembro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
setembro 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
setembro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
setembro 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
setembro 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
setembro 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
outubro 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
outubro 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
outubro 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
outubro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
outubro 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
outubro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
outubro 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
outubro 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
outubro 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
novembro 2022,1.4 Arroz,Santa Catarina,146155,146167,1177241,8055
novembro 2022,1.8 Feijao (1 Safra),Santa Catarina,34571,34656,57083,1651
novembro 2022,1.9 Feijao (2 Safra),Santa Catarina,33226,33332,92393,2781
novembro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
novembro 2022,1.13 Milho (1 Safra),Santa Catarina,335904,337304,2112327,6288
novembro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
novembro 2022,1.15 Soja,Santa Catarina,752715,754305,2163708,2875
novembro 2022,1.17 Trigo,Santa Catarina,124312,124312,430670,3464
novembro 2022,15 Fumo,Santa Catarina,87366,87700,192676,2205
dezembro 2022,1.4 Arroz,Santa Catarina,146155,146167,1177241,8055
dezembro 2022,1.8 Feijao (1 Safra),Santa Catarina,34571,34656,57083,1651
dezembro 2022,1.9 Feijao (2 Safra),Santa Catarina,33226,33332,92393,2781
dezembro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
dezembro 2022,1.13 Milho (1 Safra),Santa Catarina,335904,337304,2112327,6288
dezembro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
dezembro 2022,1.15 Soja,Santa Catarina,752715,754305,2163708,2875
dezembro 2022,1.17 Trigo,Santa Catarina,124312,124312,430670,3464
dezembro 2022,15 Fumo,Santa Catarina,87366,87700,192676,2205
janeiro 2023,1.4 Arroz,Santa Catarina,146064,146064,1168139,7997
janeiro 2023,1.8 Feijao (1 Safra),Santa Catarina,34610,34610,66753,1929
janeiro 2023,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,44561,1537
janeiro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
janeiro 2023,1.13 Milho (1 Safra),Santa Catarina,336000,336000,2587200,7700
janeiro 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
janeiro 2023,1.15 Soja,Santa Catarina,759824,759824,2656607,3496
janeiro 2023,1.17 Trigo,Santa Catarina,90000,90000,282960,3144
janeiro 2023,15 Fumo,Santa Catarina,86660,86994,189699,2189
fevereiro 2023,1.4 Arroz,Santa Catarina,146064,146064,1168139,7997
fevereiro 2023,1.8 Feijao (1 Safra),Santa Catarina,34610,34610,66753,1929
fevereiro 2023,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,44561,1537
fevereiro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
fevereiro 2023,1.13 Milho (1 Safra),Santa Catarina,336000,336000,2587200,7700
fevereiro 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
fevereiro 2023,1.15 Soja,Santa Catarina,759824,759824,2656607,3496
fevereiro 2023,1.17 Trigo,Santa Catarina,90000,90000,282960,3144
fevereiro 2023,15 Fumo,Santa Catarina,86660,86994,189699,2189
marco 2023,1.4 Arroz,Santa Catarina,146064,146064,1168139,7997
marco 2023,1.8 Feijao (1 Safra),Santa Catarina,34610,34610,66753,1929
marco 2023,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,44561,1537
marco 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
marco 2023,1.13 Milho (1 Safra),Santa Catarina,336000,336000,2587200,7700
marco 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
marco 2023,1.15 Soja,Santa Catarina,759824,759824,2656607,3496
marco 2023,1.17 Trigo,Santa Catarina,90000,90000,282960,3144
marco 2023,15 Fumo,Santa Catarina,86660,86994,189699,2189
abril 2023,1.4 Arroz,Santa Catarina,143846,143846,1173399,8157
abril 2023,1.8 Feijao (1 Safra),Santa Catarina,32651,32656,66298,2031
abril 2023,1.9 Feijao (2 Safra),Santa Catarina,28848,28882,54391,1885
abril 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
abril 2023,1.13 Milho (1 Safra),Santa Catarina,328576,328720,2604724,7927
abril 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
abril 2023,1.15 Soja,Santa Catarina,770392,771642,2877541,3735
abril 2023,1.17 Trigo,Santa Catarina,114563,114563,373837,3263
abril 2023,15 Fumo,Santa Catarina,85909,86239,193764,2255
maio 2023,1.4 Arroz,Santa Catarina,143846,143846,1173399,8157
maio 2023,1.8 Feijao (1 Safra),Santa Catarina,32651,32656,66298,2031
maio 2023,1.9 Feijao (2 Safra),Santa Catarina,28848,28882,54391,1885
maio 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
maio 2023,1.13 Milho (1 Safra),Santa Catarina,328576,328720,2604724,7927
maio 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
maio 2023,1.15 Soja,Santa Catarina,770392,771642,2877541,3735
maio 2023,1.17 Trigo,Santa Catarina,114563,114563,373837,3263
maio 2023,15 Fumo,Santa Catarina,85909,86239,193764,2255
junho 2023,1.4 Arroz,Santa Catarina,143846,143846,1173399,8157
junho 2023,1.8 Feijao (1 Safra),Santa Catarina,32651,32656,66298,2031
junho 2023,1.9 Feijao (2 Safra),Santa Catarina,28848,28882,54391,1885
junho 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
junho 2023,1.13 Milho (1 Safra),Santa Catarina,328576,328720,2604724,7927
junho 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
junho 2023,1.15 Soja,Santa Catarina,770392,771642,2877541,3735
junho 2023,1.17 Trigo,Santa Catarina,114563,114563,373837,3263
junho 2023,15 Fumo,Santa Catarina,85909,86239,193764,2255
julho 2023,1.4 Arroz,Santa Catarina,143846,143846,1173399,8157
julho 2023,1.8 Feijao (1 Safra),Santa Catarina,32651,32656,66298,2031
julho 2023,1.9 Feijao (2 Safra),Santa Catarina,28848,28882,54391,1885
julho 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
julho 2023,1.13 Milho (1 Safra),Santa Catarina,328576,328720,2604724,7927
julho 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
julho 2023,1.15 Soja,Santa Catarina,770392,771642,2877541,3735
julho 2023,1.17 Trigo,Santa Catarina,114563,114563,373837,3263
julho 2023,15 Fumo,Santa Catarina,85909,86239,193764,2255
agosto 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
agosto 2023,1.8 Feijao (1 Safra),Santa Catarina,30601,30706,64299,2101
agosto 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
agosto 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
agosto 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532372,7998
agosto 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
agosto 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
agosto 2023,1.17 Trigo,Santa Catarina,130940,130940,420617,3212
agosto 2023,15 Fumo,Santa Catarina,86091,86421,200922,2334
setembro 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
setembro 2023,1.8 Feijao (1 Safra),Santa Catarina,30601,30706,64299,2101
setembro 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
setembro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
setembro 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532372,7998
setembro 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
setembro 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
setembro 2023,1.17 Trigo,Santa Catarina,130940,130940,420617,3212
setembro 2023,15 Fumo,Santa Catarina,86091,86421,200922,2334
outubro 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
outubro 2023,1.8 Feijao (1 Safra),Santa Catarina,30601,30706,64299,2101
outubro 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
outubro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
outubro 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532372,7998
outubro 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
outubro 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
outubro 2023,1.17 Trigo,Santa Catarina,130940,130940,420617,3212
outubro 2023,15 Fumo,Santa Catarina,86091,86421,200922,2334
novembro 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
novembro 2023,1.8 Feijao (1 Safra),Santa Catarina,30601,30706,64299,2101
novembro 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
novembro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
novembro 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532215,7998
novembro 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
novembro 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
novembro 2023,1.17 Trigo,Santa Catarina,129275,132370,361830,2799
novembro 2023,15 Fumo,Santa Catarina,86012,86342,198823,2312
dezembro 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
dezembro 2023,1.8 Feijao (1 Safra),Santa Catarina,30661,30766,64407,2101
dezembro 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
dezembro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
dezembro 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532215,7998
dezembro 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
dezembro 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
dezembro 2023,1.17 Trigo,Santa Catarina,129445,132540,362544,2801
dezembro 2023,15 Fumo,Santa Catarina,86012,86342,198823,2312
janeiro 2024,1.4 Arroz,Santa Catarina,143600,143610,1168097,8134
janeiro 2024,1.8 Feijao (1 Safra),Santa Catarina,28849,28976,57056,1978
janeiro 2024,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,45341,1599
janeiro 2024,1.10 Feijao (3 Safra),Santa Catarina,,,,
janeiro 2024,1.13 Milho (1 Safra),Santa Catarina,292319,292552,2337628,7997
janeiro 2024,1.14 Milho (2 Safra),Santa Catarina,13440,13440,81573,6069
janeiro 2024,1.15 Soja,Santa Catarina,801383,801433,3012334,3759
janeiro 2024,1.17 Trigo,Santa Catarina,130940,130940,415080,3170
janeiro 2024,15 Fumo,Santa Catarina,85852,86205,173035,2016
fevereiro 2024,1.4 Arroz,Santa Catarina,143600,143610,1168097,8134
fevereiro 2024,1.8 Feijao (1 Safra),Santa Catarina,28849,28976,57056,1978
fevereiro 2024,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,45341,1599
fevereiro 2024,1.10 Feijao (3 Safra),Santa Catarina,,,,
fevereiro 2024,1.13 Milho (1 Safra),Santa Catarina,292319,292552,2337628,7997
fevereiro 2024,1.14 Milho (2 Safra),Santa Catarina,13440,13440,81573,6069
fevereiro 2024,1.15 Soja,Santa Catarina,801383,801433,3012334,3759
fevereiro 2024,1.17 Trigo,Santa Catarina,130940,130940,415080,3170
fevereiro 2024,15 Fumo,Santa Catarina,85852,86205,173035,2016
marco 2024,1.4 Arroz,Santa Catarina,143057,143057,1115533,7798
