Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
marco 2016,1.9 Feijao (2 Safra),Parana,210816,,410103,1945
marco 2016,1.10 Feijao (3 Safra),Parana,2676,,4738,1771
marco 2016,1.13 Milho (1 Safra),Parana,423890,,3448940,8136
marco 2016,1.14 Milho (2 Safra),Parana,2153483,,12638803,5869
marco 2016,1.15 Soja,Parana,5442435,,17193813,3159
marco 2016,1.17 Trigo,Parana,1198205,,3600164,3005
marco 2016,15 Fumo,Parana,73715,,148992,2021
abril 2016,1.4 Arroz,Parana,26260,,141857,5402
abril 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
abril 2016,1.9 Feijao (2 Safra),Parana,210816,,410103,1945
abril 2016,1.10 Feijao (3 Safra),Parana,2676,,4738,1771
abril 2016,1.13 Milho (1 Safra),Parana,423695,,3409668,8047
abril 2016,1.14 Milho (2 Safra),Parana,2207068,,12398712,5618
abril 2016,1.15 Soja,Parana,5445370,,17100496,3140
abril 2016,1.17 Trigo,Parana,1155605,,3476333,3008
abril 2016,15 Fumo,Parana,73715,,148992,2021
maio 2016,1.4 Arroz,Parana,26254,,141771,5400
maio 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
maio 2016,1.9 Feijao (2 Safra),Parana,205459,,318262,1549
maio 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
maio 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
maio 2016,1.14 Milho (2 Safra),Parana,2205925,,12209986,5535
maio 2016,1.15 Soja,Parana,5445370,,17100496,3140
maio 2016,1.17 Trigo,Parana,1148251,,3471037,3023
maio 2016,15 Fumo,Parana,73715,,148992,2021
junho 2016,1.4 Arroz,Parana,26254,,141771,5400
junho 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
junho 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
junho 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
junho 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
junho 2016,1.14 Milho (2 Safra),Parana,2191631,,11408211,5205
junho 2016,1.15 Soja,Parana,5444891,,16969660,3117
junho 2016,1.17 Trigo,Parana,1131432,,3400796,3006
junho 2016,15 Fumo,Parana,73715,,148992,2021
julho 2016,1.4 Arroz,Parana,26254,,141771,5400
julho 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
julho 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
julho 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
julho 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
julho 2016,1.14 Milho (2 Safra),Parana,2196169,,11232849,5115
julho 2016,1.15 Soja,Parana,5444891,,16969660,3117
julho 2016,1.17 Trigo,Parana,1095754,,3347529,3055
