Data,Estado,Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
062019,2,16.6,119.6,971.1,0.2
052019,2,18.5,270.1,967.5,0.2
032019,2,21.4,165.4,967.2,0.6
112019,2,20.4,152.2,965.6,0.8
102019,2,20.2,51.5,459.6,0.8
092019,2,7.8,83.8,460.4,0.0
042020,2,18.4,39.4,968.7,1.0
082020,2,6.6,63.2,461.3,0.3
122020,2,21.8,205.6,964.4,0.7
022020,2,21.8,270.1,966.0,0.7
012020,2,22.4,162.4,963.8,0.8
072020,2,14.4,87.6,969.8,0.8
062020,2,16.1,97.3,969.2,0.6
052020,2,15.4,45.2,968.8,0.9
032020,2,21.3,73.8,967.6,0.8
112020,2,19.8,102.1,966.7,0.7
102020,2,19.5,113.9,966.6,1.0
092020,2,17.9,40.0,969.0,0.8
042021,2,8.4,8.6,460.5,0.2
082021,2,16.0,28.3,971.0,0.9
122021,2,21.0,165.6,964.4,1.5
022021,2,10.0,53.1,458.4,0.2
012021,2,10.0,126.1,458.8,0.4
072021,2,5.2,18.7,461.8,0.3
062021,2,6.2,63.3,461.0,0.2
052021,2,6.9,55.1,460.3,0.2
032021,2,10.0,65.6,458.9,0.2
112021,2,20.0,50.1,458.6,1.0
102021,2,7.7,84.2,459.6,1.0
092021,2,17.6,116.5,968.4,1.0
042022,2,18.8,81.4,967.6,0.8
082022,2,8.3,160.6,509.8,0.6
122022,2,21.5,321.9,963.8,1.5
022022,2,23.0,71.2,964.6,1.1
012022,2,22.7,248.7,964.0,1.4
072022,2,8.8,13.9,508.8,0.4
062022,2,13.9,86.0,509.0,0.4
052022,2,15.6,201.2,968.4,1.3
032022,2,21.9,314.3,965.4,1.0
112022,2,18.3,213.0,967.4,1.8
102022,2,10.0,122.1,507.2,0.6
092022,2,8.4,110.4,509.1,0.6
042023,2,18.8,197.5,967.2,1.2
082023,2,16.2,108.9,968.6,1.2
122023,2,12.4,77.4,965.0,1.7
022023,2,22.4,231.6,964.4,1.3
012023,2,22.4,256.9,964.4,1.5
072023,2,14.9,123.6,971.2,1.0
062023,2,15.0,176.4,970.8,1.1
052023,2,17.4,21.0,969.9,0.9
032023,2,22.4,192.6,966.4,1.4
112023,2,20.8,97.8,506.0,0.6
102023,2,18.4,270.8,506.8,0.6
092023,2,19.0,127.4,967.0,1.6
042024,2,20.8,180.1,967.0,1.3
082024,2,14.6,42.1,970.9,1.2
122024,2,9.5,92.1,458.2,1.0
022024,2,12.6,154.7,966.2,1.4
012024,2,12.1,384.5,964.7,1.6
072024,2,13.7,176.4,972.9,1.0
062024,2,16.7,55.8,969.2,1.0
052024,2,18.4,173.3,967.5,1.4
032024,2,12.4,83.8,966.3,1.2
112024,2,9.4,86.6,458.8,1.0
102024,2,8.8,48.7,459.6,1.0
092024,2,18.3,131.3,968.0,1.4
042014,1,17.9,81.5,865.2,1.6
082014,1,16.8,28.0,865.3,1.7
122014,1,22.2,113.0,858.6,1.6
022014,1,22.2,100.7,816.6,1.6
012014,1,22.9,144.4,901.2,1.4
072014,1,15.4,75.4,825.8,1.7
062014,1,16.2,134.4,863.2,1.6
052014,1,15.4,78.5,865.7,1.5
032014,1,19.4,167.2,863.6,1.6
112014,1,22.2,94.5,863.6,1.6
102014,1,21.8,48.8,904.1,2.0
092014,1,18.5,146.5,784.0,2.0
042015,1,16.0,40.6,734.2,1.1
082015,1,19.0,28.4,864.9,1.6
122015,1,20.8,199.4,858.5,1.4
022015,1,16.7,80.8,690.4,0.9
012015,1,19.9,89.7,774.9,1.2
072015,1,14.7,158.6,703.1,1.2
062015,1,15.5,51.5,865.6,1.5
052015,1,15.4,67.0,779.9,1.4
032015,1,18.3,75.2,649.3,0.8
112015,1,21.7,239.3,903.0,1.7
102015,1,20.9,146.9,902.6,1.9
092015,1,18.1,100.0,737.0,1.2
042016,1,21.6,64.9,902.5,1.3
082016,1,15.2,87.8,799.7,1.3
122016,1,21.8,168.1,868.7,1.6
022016,1,19.9,178.9,781.8,1.1
012016,1,20.6,133.1,738.4,1.3
072016,1,16.0,42.1,945.7,1.5
062016,1,12.5,54.5,828.4,1.0
052016,1,13.4,119.5,786.0,1.1
032016,1,22.2,77.7,824.0,1.3
112016,1,20.9,82.4,869.2,1.9
102016,1,20.2,143.9,941.3,2.1
092016,1,18.0,40.8,907.5,1.6
042017,1,17.2,79.7,762.6,1.7
082017,1,16.1,95.3,835.3,2.2
122017,1,22.0,203.8,864.4,1.6
022017,1,20.4,110.5,798.2,1.5
012017,1,21.5,157.6,833.0,1.4
072017,1,12.2,3.2,763.4,1.8
062017,1,13.7,89.4,722.5,1.5
052017,1,17.2,162.2,868.2,1.8
032017,1,19.1,76.6,799.5,1.7
112017,1,20.2,129.3,791.3,1.6
102017,1,16.6,226.7,723.2,1.7
092017,1,18.7,27.7,760.8,1.9
042018,1,20.5,22.2,797.5,1.3
082018,1,13.7,77.0,795.5,1.4
122018,1,21.8,77.3,867.4,1.5
022018,1,17.6,96.1,756.6,1.5
012018,1,18.8,203.3,791.9,1.4
072018,1,14.7,6.9,834.1,1.3
062018,1,14.3,66.4,836.1,1.3
052018,1,16.9,41.5,871.3,1.6
032018,1,19.6,164.3,793.9,1.2
112018,1,19.4,92.1,793.8,1.7
102018,1,15.5,183.2,685.0,1.3
092018,1,13.7,101.8,720.7,1.4
042019,1,17.2,80.5,727.0,0.9
082019,1,15.2,8.8,727.9,1.7
122019,1,20.8,163.3,867.3,1.6
022019,1,21.2,153.7,831.0,1.4
012019,1,22.8,160.4,868.6,1.5
072019,1,12.3,25.9,761.5,1.3
062019,1,15.8,51.0,834.8,1.4
052019,1,17.6,135.3,868.5,1.3
032019,1,18.7,121.0,795.7,1.2
112019,1,19.7,109.3,797.1,2.0
102019,1,19.8,71.7,798.5,1.9
092019,1,17.7,66.5,798.6,1.9
042020,1,16.6,31.1,761.6,1.4
082020,1,14.2,86.3,654.0,1.3
122020,1,10.2,63.0,428.6,0.9
022020,1,21.3,101.4,869.9,1.8
012020,1,22.4,116.9,832.2,1.6
072020,1,14.0,28.4,726.7,1.3
062020,1,15.0,90.7,727.1,1.4
052020,1,12.5,69.2,724.8,1.3
032020,1,20.1,33.9,871.3,1.7
112020,1,13.3,36.8,542.4,1.1
102020,1,13.4,42.2,577.2,1.3
092020,1,15.6,16.9,613.4,1.3
042021,1,8.0,8.1,395.5,0.7
082021,1,5.9,20.5,323.0,0.7
122021,1,13.6,18.2,541.7,0.9
022021,1,10.1,18.5,429.8,0.8
012021,1,10.0,116.9,462.7,0.9
072021,1,4.0,11.0,288.2,0.6
062021,1,5.0,27.9,322.8,0.6
052021,1,6.2,27.7,395.6,0.6
032021,1,8.6,42.9,359.3,0.6
112021,1,11.1,24.3,469.4,1.0
102021,1,7.1,71.1,319.6,0.9
092021,1,6.8,20.9,322.0,0.7
042022,1,9.8,44.5,471.6,0.7
082022,1,7.1,31.1,323.9,0.7
122022,1,19.3,113.1,757.4,1.6
022022,1,11.7,35.1,505.6,0.8
012022,1,12.7,78.0,504.8,0.9
072022,1,7.0,3.4,360.1,0.6
062022,1,7.2,22.6,363.2,0.6
052022,1,8.7,28.7,503.8,0.9
032022,1,9.6,73.4,434.0,0.7
112022,1,12.6,59.0,612.2,1.5
102022,1,11.2,180.6,542.3,1.1
092022,1,9.3,88.1,507.6,1.1
042023,1,14.5,94.8,688.8,1.2
082023,1,14.6,58.7,688.8,1.4
122023,1,19.3,105.6,758.0,1.5
022023,1,17.0,132.1,722.2,1.3
012023,1,17.5,126.0,685.1,1.3
072023,1,13.7,59.5,763.8,1.5
