Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
052020,7,1,5503500.0,20754000.0,3771.0,12.54,69.16,724.81,1.26
052020,8,1,1090500.0,3537600.0,3244.0,12.54,69.16,724.81,1.26
052020,9,1,71500.0,174100.0,2435.0,12.54,69.16,724.81,1.26
062020,1,1,21700.0,153400.0,7069.0,14.98,90.7,727.06,1.42
062020,2,1,152341.0,322900.0,2120.0,14.98,90.7,727.06,1.42
062020,3,1,222000.0,263300.0,1186.0,14.98,90.7,727.06,1.42
062020,4,1,2000.0,2400.0,1200.0,14.98,90.7,727.06,1.42
062020,5,1,352600.0,3534500.0,10024.0,14.98,90.7,727.06,1.42
062020,6,1,2254500.0,11364900.0,5041.0,14.98,90.7,727.06,1.42
062020,7,1,5503000.0,20749200.0,3771.0,14.98,90.7,727.06,1.42
062020,8,1,1130000.0,3672100.0,3250.0,14.98,90.7,727.06,1.42
062020,9,1,71500.0,174100.0,2435.0,14.98,90.7,727.06,1.42
072020,1,1,21300.0,151500.0,7113.0,13.99,28.4,726.71,1.29
072020,2,1,152500.0,319700.0,2096.0,13.99,28.4,726.71,1.29
072020,3,1,222000.0,259400.0,1168.0,13.99,28.4,726.71,1.29
072020,4,1,2000.0,2300.0,1150.0,13.99,28.4,726.71,1.29
072020,5,1,354100.0,3550900.0,10028.0,13.99,28.4,726.71,1.29
072020,6,1,2260200.0,11548700.0,5110.0,13.99,28.4,726.71,1.29
072020,7,1,5503200.0,20813000.0,3782.0,13.99,28.4,726.71,1.29
072020,8,1,1133400.0,3685900.0,3252.0,13.99,28.4,726.71,1.29
072020,9,1,71300.0,175200.0,2457.0,13.99,28.4,726.71,1.29
082020,1,1,20800.0,150600.0,7240.0,14.18,86.32,653.95,1.31
082020,2,1,152500.0,319700.0,2096.0,14.18,86.32,653.95,1.31
082020,3,1,224900.0,268700.0,1195.0,14.18,86.32,653.95,1.31
082020,4,1,2000.0,2200.0,1100.0,14.18,86.32,653.95,1.31
