Data Medicao,TemperaturaMedia C?,CodEstacao,Nome,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",n
junho 2019,18.9,A871,Parana,84,"940,5","2,1",
julho 2019,17.2,A871,Parana,"42,2","939,9","2,4",
agosto 2019,18.5,A871,Parana,"4,2","941,1",3,
setembro 2019,21.1,A871,Parana,"80,8","937,3","3,2",
outubro 2019,23.5,A871,Parana,"25,8","935,5","3,1",
novembro 2019,22.6,A871,Parana,"250,4","933,9","3,4",
dezembro 2019,22.5,A871,Parana,"189,4","934,2","2,6",
janeiro 2020,23.2,A871,Parana,"174,2","933,4","2,4",
fevereiro 2020,22.4,A871,Parana,"134,8","935,1","2,9",
marco 2020,22.4,A871,Parana,"26,6","936,4","2,8",
abril 2020,20.5,A871,Parana,"33,6","937,8","2,7",
maio 2020,17.9,A871,Parana,"80,4","938,6","2,2",
junho 2020,18.5,A871,Parana,153,"938,9","2,3",
julho 2020,17.7,A871,Parana,"38,6","938,9","2,5",
agosto 2020,17.5,A871,Parana,"147,2","939,7","2,7",
setembro 2020,22.6,A871,Parana,"11,6","937,1",3,
outubro 2020,22.6,A871,Parana,"80,4","934,9","3,1",
novembro 2020,22.1,A871,Parana,11,"935,1",3,
dezembro 2020,22.5,A871,Parana,"137,2",934,"2,6",
janeiro 2021,22.7,A871,Parana,"311,2","934,3","2,3",
fevereiro 2021,22.8,A871,Parana,,"933,5","2,3",
marco 2021,,A871,Parana,,,,
abril 2021,,A871,Parana,,,,
maio 2021,,A871,Parana,,,,
junho 2021,,A871,Parana,,,,
julho 2021,,A871,Parana,,,,
agosto 2021,,A871,Parana,,,,
setembro 2021,,A871,Parana,,,,
outubro 2021,,A871,Parana,,,,
novembro 2021,,A871,Parana,,,,
dezembro 2021,,A871,Parana,,,,
janeiro 2022,,A871,Parana,,,,
fevereiro 2022,,A871,Parana,,,,
marco 2022,,A871,Parana,,,,
abril 2022,,A871,Parana,,,,
maio 2022,17.1,A871,Parana,"76,8","937,9","2,4",
junho 2022,16.3,A871,Parana,"81,6","938,4","1,4",
julho 2022,19.1,A871,Parana,"5,2","938,9","0,9",
agosto 2022,17.0,A871,Parana,"101,8","939,2","1,6",
setembro 2022,16.9,A871,Parana,"167,8","937,5","2,9",
outubro 2022,20.2,A871,Parana,"265,8","935,4","1,9",
novembro 2022,19.7,A871,Parana,"94,6","935,3","2,7",
dezembro 2022,21.9,A871,Parana,"208,8",933,"1,4",
janeiro 2023,22.2,A871,Parana,"145,4",934,"1,1",
fevereiro 2023,21.7,A871,Parana,"413,2","934,9","0,7",
marco 2023,23.1,A871,Parana,"168,4",936,"1,1",
abril 2023,20.1,A871,Parana,"87,6","936,1","2,1",
maio 2023,19.1,A871,Parana,"15,6","938,8","1,3",
junho 2023,17.3,A871,Parana,"102,6","940,3","1,5",
julho 2023,17.0,A871,Parana,"69,6","940,3","1,6",
agosto 2023,18.9,A871,Parana,64,"937,7","1,9",
setembro 2023,22.3,A871,Parana,"41,8","936,1","2,6",
outubro 2023,21.3,A871,Parana,288,"934,1","2,2",
novembro 2023,22.7,A871,Parana,"216,2","933,8","2,2",
dezembro 2023,24.5,A871,Parana,"57,4","934,2","2,5",
janeiro 2024,23.5,A871,Parana,142,"934,2","2,3",
fevereiro 2024,24.2,A871,Parana,"59,4","935,7","2,3",
marco 2024,24.2,A871,Parana,"43,6","935,6","2,3",
abril 2024,23.0,A871,Parana,"102,2","936,3","0,7",
maio 2024,21.0,A871,Parana,"56,8","937,5","0,4",
junho 2024,20.3,A871,Parana,"0,8","938,9","0,4",
julho 2024,18.0,A871,Parana,69,"941,1","0,5",
agosto 2024,19.4,A871,Parana,"53,4","939,6","0,7",
setembro 2024,23.5,A871,Parana,"43,4","936,6","1,1",
outubro 2024,21.9,A871,Parana,"113,8","935,4","1,9",
novembro 2024,22.6,A871,Parana,"157,8","933,9","2,3",
dezembro 2024,22.2,A871,Parana,"140,4","933,2","1,8",
maio 2016,,A870,Santa Catarina,,,,
junho 2016,9.4,A870,Santa Catarina,"32,2","921,9","1,3",
julho 2016,11.9,A870,Santa Catarina,"105,8","919,2","1,7",
agosto 2016,13.0,A870,Santa Catarina,"121,8","918,6",,
setembro 2016,13.3,A870,Santa Catarina,"90,2","918,8",,
outubro 2016,14.9,A870,Santa Catarina,"231,8","917,1",,
novembro 2016,16.3,A870,Santa Catarina,"85,6","916,1",,
dezembro 2016,18.7,A870,Santa Catarina,"401,2","914,9",,
janeiro 2017,20.5,A870,Santa Catarina,"244,4","915,7",,
fevereiro 2017,20.9,A870,Santa Catarina,"206,4","916,1",,
marco 2017,18.5,A870,Santa Catarina,158,"917,7",,
abril 2017,15.8,A870,Santa Catarina,"138,8","918,6",,
maio 2017,15.2,A870,Santa Catarina,"326,4","918,7",,
junho 2017,13.3,A870,Santa Catarina,"220,8","919,7",,
julho 2017,12.5,A870,Santa Catarina,"28,6","924,7","1,7",
agosto 2017,13.2,A870,Santa Catarina,154,"919,7","1,9",
setembro 2017,16.5,A870,Santa Catarina,81,"920,6","1,7",
outubro 2017,16.3,A870,Santa Catarina,104,"915,7","1,9",
novembro 2017,16.2,A870,Santa Catarina,"129,4","914,7","1,8",
dezembro 2017,18.7,A870,Santa Catarina,"252,4","914,7","1,7",
janeiro 2018,19.4,A870,Santa Catarina,"296,8","915,1","2,1",
fevereiro 2018,18.4,A870,Santa Catarina,"108,4",916,2,
marco 2018,19.1,A870,Santa Catarina,"201,8","915,2",2,
abril 2018,17.9,A870,Santa Catarina,"59,4","919,7","1,9",
maio 2018,14.6,A870,Santa Catarina,"83,6","919,8",2,
junho 2018,12.7,A870,Santa Catarina,"122,4","919,4",2,
julho 2018,13.7,A870,Santa Catarina,"67,8","919,6","2,2",
agosto 2018,11.6,A870,Santa Catarina,98,"920,1","2,3",
setembro 2018,14.9,A870,Santa Catarina,"198,4","917,4","2,1",
outubro 2018,15.1,A870,Santa Catarina,"145,2","916,7","2,5",
novembro 2018,17.0,A870,Santa Catarina,"138,6","916,6",,
dezembro 2018,19.3,A870,Santa Catarina,"259,2","915,9",,
janeiro 2019,21.9,A870,Santa Catarina,"218,4","917,1",,
fevereiro 2019,19.0,A870,Santa Catarina,,,,
marco 2019,,A870,Santa Catarina,,,,
abril 2019,18.0,A870,Santa Catarina,"130,8",917,2,
maio 2019,16.1,A870,Santa Catarina,"236,6","917,7","2,1",
junho 2019,14.9,A870,Santa Catarina,"25,8","920,7","2,2",
julho 2019,12.1,A870,Santa Catarina,"85,8",920,,
agosto 2019,12.2,A870,Santa Catarina,"51,2","922,2",,
setembro 2019,14.2,A870,Santa Catarina,"83,6",919,"2,2",
outubro 2019,17.1,A870,Santa Catarina,"126,6","917,4","2,4",
novembro 2019,17.8,A870,Santa Catarina,147,"915,9","2,4",
dezembro 2019,,A870,Santa Catarina,,,,
janeiro 2020,,A870,Santa Catarina,,,,
fevereiro 2020,,A870,Santa Catarina,,,,
marco 2020,,A870,Santa Catarina,,,,
abril 2020,,A870,Santa Catarina,,,,
maio 2020,,A870,Santa Catarina,,,,
junho 2020,,A870,Santa Catarina,,,,
julho 2020,,A870,Santa Catarina,,,,
agosto 2020,,A870,Santa Catarina,,,,
setembro 2020,15.0,A870,Santa Catarina,"131,8","918,8","2,1",
outubro 2020,16.1,A870,Santa Catarina,"112,6","916,8","2,3",
novembro 2020,16.5,A870,Santa Catarina,174,917,"2,2",
dezembro 2020,18.6,A870,Santa Catarina,"354,2","915,2","2,1",
janeiro 2021,19.4,A870,Santa Catarina,464,"915,6",,
fevereiro 2021,19.1,A870,Santa Catarina,131,915,,
marco 2021,19.2,A870,Santa Catarina,"219,2","915,7",2,
abril 2021,16.1,A870,Santa Catarina,"68,2","919,2",2,
maio 2021,13.1,A870,Santa Catarina,"136,8","918,2","2,1",
junho 2021,11.7,A870,Santa Catarina,"276,4","919,6","2,1",
julho 2021,10.8,A870,Santa Catarina,"33,4","921,1","2,3",
agosto 2021,13.8,A870,Santa Catarina,"68,8","921,1","2,1",
setembro 2021,14.9,A870,Santa Catarina,163,"918,1","2,3",
outubro 2021,14.4,A870,Santa Catarina,"237,6","917,4","2,2",
novembro 2021,16.6,A870,Santa Catarina,"159,2","915,3",,
dezembro 2021,17.7,A870,Santa Catarina,73,"915,1",,
janeiro 2022,20.3,A870,Santa Catarina,139,"915,1",,
fevereiro 2022,19.9,A870,Santa Catarina,164,"915,6","2,1",
marco 2022,19.0,A870,Santa Catarina,208,"916,2","2,2",
abril 2022,15.9,A870,Santa Catarina,"84,2","917,6","2,1",
maio 2022,12.8,A870,Santa Catarina,"235,4","917,7","2,2",
junho 2022,11.7,A870,Santa Catarina,"179,2","918,3","2,1",
julho 2022,14.3,A870,Santa Catarina,"41,8","918,8","2,3",
agosto 2022,11.9,A870,Santa Catarina,"172,8","920,1","2,4",
setembro 2022,12.4,A870,Santa Catarina,"124,6","918,8","2,3",
outubro 2022,15.3,A870,Santa Catarina,"223,2","916,3","2,2",
novembro 2022,15.3,A870,Santa Catarina,"301,6","917,7",,
dezembro 2022,18.6,A870,Santa Catarina,"552,4","914,6","2,1",
janeiro 2023,19.8,A870,Santa Catarina,236,"915,4",2,
fevereiro 2023,19.7,A870,Santa Catarina,"240,6","915,3",2,
marco 2023,20.0,A870,Santa Catarina,"231,8","917,3","1,8",
abril 2023,16.1,A870,Santa Catarina,"136,2","917,4","1,9",
maio 2023,14.9,A870,Santa Catarina,"66,8","919,7","1,9",
junho 2023,13.1,A870,Santa Catarina,"112,4",920,"2,5",
julho 2023,12.7,A870,Santa Catarina,"169,6","920,2","2,2",
agosto 2023,14.4,A870,Santa Catarina,"128,2","918,1","2,3",
setembro 2023,16.0,A870,Santa Catarina,"204,8","916,9","2,4",
outubro 2023,14.9,A870,Santa Catarina,"445,2","915,6","2,1",
novembro 2023,17.7,A870,Santa Catarina,"363,2","914,9","2,3",
dezembro 2023,20.1,A870,Santa Catarina,77,"915,8","2,2",
janeiro 2024,19.5,A870,Santa Catarina,"237,4","915,9","2,2",
fevereiro 2024,20.8,A870,Santa Catarina,"198,2","917,3","1,9",
marco 2024,20.0,A870,Santa Catarina,"186,8","917,2","1,9",
abril 2024,,A870,Santa Catarina,,,,
maio 2024,,A870,Santa Catarina,,,,
junho 2024,,A870,Santa Catarina,,,,
julho 2024,12.7,A870,Santa Catarina,,,,
agosto 2024,13.8,A870,Santa Catarina,"36,4",920,,
setembro 2024,16.5,A870,Santa Catarina,105,"917,9",,
outubro 2024,16.3,A870,Santa Catarina,217,"917,4",,
novembro 2024,17.6,A870,Santa Catarina,"278,6","916,1",,
dezembro 2024,17.7,A870,Santa Catarina,"227,6","914,5",,
janeiro 2014,26.1,A869,Parana,"169,4","970,6","0,5",
fevereiro 2014,26.6,A869,Parana,"141,2","969,6",1,
marco 2014,24.1,A869,Parana,"342,8","970,6","0,6",
abril 2014,23.0,A869,Parana,"100,4","972,4","0,7",
maio 2014,20.5,A869,Parana,119,973,"0,7",
junho 2014,19.5,A869,Parana,"123,2","974,1",1,
julho 2014,18.9,A869,Parana,87,"976,8","1,1",
agosto 2014,21.7,A869,Parana,"25,6","974,8","0,9",
setembro 2014,23.5,A869,Parana,,"971,5","1,3",
outubro 2014,26.0,A869,Parana,"40,4","971,2",1,
novembro 2014,24.7,A869,Parana,"159,2","969,2","0,5",
dezembro 2014,26.0,A869,Parana,"69,6","968,8","0,7",
janeiro 2015,26.3,A869,Parana,"267,2","970,9","0,4",
fevereiro 2015,25.5,A869,Parana,,"969,6","0,3",
marco 2015,24.7,A869,Parana,"98,6","970,6","0,2",
abril 2015,23.7,A869,Parana,,"972,1","0,3",
maio 2015,21.3,A869,Parana,,,,
junho 2015,20.6,A869,Parana,,"976,4","0,5",
julho 2015,,A869,Parana,,,,
agosto 2015,23.4,A869,Parana,,"973,7","0,8",
setembro 2015,24.9,A869,Parana,,970,,
outubro 2015,25.9,A869,Parana,,970,"0,9",
novembro 2015,24.9,A869,Parana,,"968,8",,
dezembro 2015,25.3,A869,Parana,,"969,8",,
janeiro 2016,26.1,A869,Parana,"119,6","968,1","0,5",
fevereiro 2016,25.7,A869,Parana,"280,4","970,3","0,3",
marco 2016,24.4,A869,Parana,"112,6","971,9","0,2",
abril 2016,26.0,A869,Parana,0,"971,7","0,5",
maio 2016,,A869,Parana,,,,
junho 2016,,A869,Parana,,,,
julho 2016,18.9,A869,Parana,"38,6","974,8","1,8",
agosto 2016,20.3,A869,Parana,"108,6","973,8","2,1",
setembro 2016,20.9,A869,Parana,"28,4","974,1","1,9",
outubro 2016,23.4,A869,Parana,"174,4","970,6","2,3",
novembro 2016,25.2,A869,Parana,19,"969,4","2,2",
dezembro 2016,25.0,A869,Parana,"168,8","969,1",2,
janeiro 2017,25.5,A869,Parana,234,"969,8","1,5",
fevereiro 2017,26.5,A869,Parana,"176,4","969,5","1,6",
marco 2017,25.3,A869,Parana,"80,8","970,8","1,8",
abril 2017,22.1,A869,Parana,232,"972,4","1,9",
maio 2017,21.4,A869,Parana,"249,8","972,9","1,7",
junho 2017,18.7,A869,Parana,71,"975,5","1,7",
julho 2017,18.9,A869,Parana,0,"979,2","2,1",
agosto 2017,21.3,A869,Parana,"165,2","973,5","2,2",
setembro 2017,,A869,Parana,,,,
outubro 2017,,A869,Parana,,,,
novembro 2017,24.6,A869,Parana,,,,
dezembro 2017,25.5,A869,Parana,"167,8",968,"1,8",
janeiro 2018,,A869,Parana,,,,
fevereiro 2018,,A869,Parana,,,,
marco 2018,25.6,A869,Parana,"138,8","969,2","1,4",
abril 2018,24.3,A869,Parana,14,"973,4","1,5",
maio 2018,21.1,A869,Parana,60,"974,7","1,7",
junho 2018,18.6,A869,Parana,"71,2","975,7","1,4",
julho 2018,20.6,A869,Parana,1,"975,1","1,7",
agosto 2018,18.3,A869,Parana,"169,6","975,8",2,
setembro 2018,21.8,A869,Parana,135,"971,4","1,9",
outubro 2018,23.7,A869,Parana,"179,6",970,"2,1",
novembro 2018,24.8,A869,Parana,"172,4","969,3","2,2",
dezembro 2018,26.2,A869,Parana,"117,6","969,8","1,7",
janeiro 2019,26.9,A869,Parana,"216,6","971,1","1,6",
fevereiro 2019,25.8,A869,Parana,"141,8","969,3","1,6",
marco 2019,24.9,A869,Parana,"152,2","971,6","1,5",
abril 2019,24.0,A869,Parana,"55,6","971,4","1,3",
maio 2019,21.6,A869,Parana,"76,6","972,7","1,6",
junho 2019,20.9,A869,Parana,"68,2","975,7","1,7",
julho 2019,18.8,A869,Parana,"27,6","975,7","1,9",
agosto 2019,21.4,A869,Parana,0,"976,2","2,6",
setembro 2019,24.6,A869,Parana,"28,8","971,8","2,2",
outubro 2019,26.4,A869,Parana,"109,2","970,1","2,1",
novembro 2019,26.3,A869,Parana,"97,6","968,4","2,1",
dezembro 2019,24.9,A869,Parana,"433,8","969,1","1,7",
janeiro 2020,25.8,A869,Parana,"255,8","968,3","1,6",
fevereiro 2020,25.7,A869,Parana,"106,8","969,8","1,7",
marco 2020,25.8,A869,Parana,"62,6","971,2","1,6",
abril 2020,22.4,A869,Parana,"45,2","973,4","1,5",
maio 2020,19.2,A869,Parana,"93,2","974,7","1,5",
junho 2020,20.5,A869,Parana,"139,2",974,"1,8",
julho 2020,19.5,A869,Parana,"16,8","974,5","1,7",
agosto 2020,21.3,A869,Parana,"121,2","974,4","2,1",
setembro 2020,26.1,A869,Parana,"7,8","971,4",2,
outubro 2020,26.2,A869,Parana,"87,2","969,4",2,
novembro 2020,25.8,A869,Parana,"16,4","969,9",2,
dezembro 2020,25.6,A869,Parana,"147,2","968,8","1,9",
janeiro 2021,24.6,A869,Parana,"526,6","969,2","1,7",
fevereiro 2021,24.9,A869,Parana,"105,8",969,"1,6",
marco 2021,25.1,A869,Parana,,"969,3","1,4",
abril 2021,23.4,A869,Parana,1,"972,8","1,8",
maio 2021,,A869,Parana,,"974,2","1,5",
junho 2021,,A869,Parana,,,,
julho 2021,,A869,Parana,,,,
agosto 2021,,A869,Parana,,,,
setembro 2021,,A869,Parana,,,,
outubro 2021,,A869,Parana,,,,
novembro 2021,,A869,Parana,,,,
dezembro 2021,,A869,Parana,,,,
janeiro 2022,,A869,Parana,,,,
fevereiro 2022,,A869,Parana,,,,
marco 2022,,A869,Parana,,,,
abril 2022,,A869,Parana,,,,
maio 2022,,A869,Parana,,,,
junho 2022,,A869,Parana,,,,
julho 2022,,A869,Parana,,,,
agosto 2022,,A869,Parana,,,,
setembro 2022,,A869,Parana,,,,
outubro 2022,,A869,Parana,,,,
novembro 2022,,A869,Parana,,,,
dezembro 2022,25.6,A869,Parana,"165,6","967,8","1,8",
janeiro 2023,24.9,A869,Parana,"194,4","969,1","1,4",
fevereiro 2023,24.1,A869,Parana,"294,2","970,1","1,3",
marco 2023,25.5,A869,Parana,"59,8",971,"1,2",
abril 2023,23.0,A869,Parana,"179,6","971,5","1,1",
maio 2023,21.1,A869,Parana,"19,2","974,4",1,
junho 2023,18.7,A869,Parana,"73,6","976,2","1,1",
julho 2023,20.2,A869,Parana,21,"975,7","1,4",
agosto 2023,22.0,A869,Parana,"54,8","972,7","1,8",
setembro 2023,24.9,A869,Parana,"88,2","970,7","2,1",
outubro 2023,25.4,A869,Parana,"180,2","968,5","1,9",
novembro 2023,25.6,A869,Parana,"184,4","968,3","1,9",
dezembro 2023,26.7,A869,Parana,"240,2","969,1","1,6",
janeiro 2024,26.3,A869,Parana,"234,8","969,1","1,6",
fevereiro 2024,26.7,A869,Parana,,"970,1","1,5",
marco 2024,,A869,Parana,,,,
abril 2024,,A869,Parana,"109,4",,,
maio 2024,,A869,Parana,,,,
junho 2024,,A869,Parana,0,,,
julho 2024,,A869,Parana,"20,6",,,
agosto 2024,22.7,A869,Parana,"39,8",,,
setembro 2024,,A869,Parana,,,,
outubro 2024,,A869,Parana,,,,
novembro 2024,26.1,A869,Parana,"179,8","968,4","1,9",
dezembro 2024,25.2,A869,Parana,"222,2","968,1","1,6",
janeiro 2014,25.6,A868,Santa Catarina,"199,4",1012,"1,7",
fevereiro 2014,26.0,A868,Santa Catarina,106,"1012,2","1,9",
marco 2014,23.6,A868,Santa Catarina,"262,6","1013,2","1,6",
abril 2014,21.7,A868,Santa Catarina,57,"1015,8","1,4",
maio 2014,19.2,A868,Santa Catarina,"62,4","1016,3","1,2",
junho 2014,17.6,A868,Santa Catarina,"307,4","1017,4","1,2",
julho 2014,16.9,A868,Santa Catarina,47,"1021,2",1,
agosto 2014,17.3,A868,Santa Catarina,"107,6","1018,8","1,2",
setembro 2014,19.5,A868,Santa Catarina,"179,4","1015,8","1,4",
outubro 2014,21.5,A868,Santa Catarina,"70,2","1016,1","1,6",
novembro 2014,22.6,A868,Santa Catarina,"142,2","1012,9","1,6",
dezembro 2014,24.1,A868,Santa Catarina,"168,2","1011,5","1,3",
janeiro 2015,25.5,A868,Santa Catarina,"150,6","1012,3","1,8",
fevereiro 2015,24.7,A868,Santa Catarina,287,"1011,6","1,7",
marco 2015,23.7,A868,Santa Catarina,"256,4","1013,1","1,5",
abril 2015,21.4,A868,Santa Catarina,103,"1015,4","1,4",
maio 2015,19.1,A868,Santa Catarina,"200,8","1017,4","1,3",
junho 2015,16.9,A868,Santa Catarina,"130,6","1019,5","1,3",
julho 2015,17.5,A868,Santa Catarina,"152,6","1017,5","1,1",
agosto 2015,19.7,A868,Santa Catarina,"49,2","1017,5","1,5",
setembro 2015,19.1,A868,Santa Catarina,"263,8","1013,9","1,5",
outubro 2015,19.7,A868,Santa Catarina,"306,6","1015,3","1,4",
novembro 2015,21.6,A868,Santa Catarina,"165,6",1012,"1,5",
dezembro 2015,24.0,A868,Santa Catarina,"244,2","1011,3","1,6",
janeiro 2016,24.6,A868,Santa Catarina,"145,8","1011,6","1,7",
fevereiro 2016,25.3,A868,Santa Catarina,"182,6","1011,7","1,4",
marco 2016,23.5,A868,Santa Catarina,"262,4",1014,"1,5",
abril 2016,,A868,Santa Catarina,,,,
maio 2016,17.7,A868,Santa Catarina,,"1018,2",1,
junho 2016,13.4,A868,Santa Catarina,"66,4","1021,6","1,1",
julho 2016,15.3,A868,Santa Catarina,"69,2","1018,7","1,4",
agosto 2016,16.2,A868,Santa Catarina,"145,4","1017,5","1,4",
setembro 2016,17.8,A868,Santa Catarina,"91,8","1017,8","1,8",
outubro 2016,19.7,A868,Santa Catarina,"197,8","1015,1","1,9",
novembro 2016,21.2,A868,Santa Catarina,"156,4","1013,5","1,8",
dezembro 2016,23.3,A868,Santa Catarina,301,"1011,2","1,6",
janeiro 2017,25.3,A868,Santa Catarina,162,"1011,2","1,9",
fevereiro 2017,25.5,A868,Santa Catarina,"179,4","1011,6","1,6",
marco 2017,23.3,A868,Santa Catarina,"149,8",1014,"1,4",
abril 2017,21.0,A868,Santa Catarina,"168,8","1015,9","1,5",
maio 2017,19.5,A868,Santa Catarina,"245,6","1016,5","1,3",
junho 2017,17.3,A868,Santa Catarina,182,"1018,4","1,3",
julho 2017,16.7,A868,Santa Catarina,"22,6","1024,1","1,4",
agosto 2017,17.7,A868,Santa Catarina,"88,2","1018,5","1,6",
setembro 2017,20.5,A868,Santa Catarina,"95,4","1018,5","1,5",
outubro 2017,20.9,A868,Santa Catarina,"110,6",1013,"1,8",
novembro 2017,21.2,A868,Santa Catarina,"106,8",1012,"1,9",
dezembro 2017,23.4,A868,Santa Catarina,"158,8",1011,"1,8",
janeiro 2018,24.1,A868,Santa Catarina,"248,8",1011,"1,6",
fevereiro 2018,23.3,A868,Santa Catarina,"100,2","1012,4","1,6",
marco 2018,23.8,A868,Santa Catarina,"261,4","1011,2","1,4",
abril 2018,22.4,A868,Santa Catarina,"42,2","1016,4","1,4",
maio 2018,19.3,A868,Santa Catarina,"68,6","1017,8","1,3",
junho 2018,15.9,A868,Santa Catarina,"65,8","1018,5","1,3",
julho 2018,16.6,A868,Santa Catarina,"17,6","1018,4","1,3",
agosto 2018,15.6,A868,Santa Catarina,"65,4","1019,7","1,6",
setembro 2018,19.3,A868,Santa Catarina,123,"1015,2","1,6",
outubro 2018,20.2,A868,Santa Catarina,"138,8","1014,3","1,6",
novembro 2018,22.0,A868,Santa Catarina,113,"1013,8","1,9",
dezembro 2018,24.0,A868,Santa Catarina,"116,8","1012,1","1,8",
janeiro 2019,26.5,A868,Santa Catarina,"236,4","1012,3","1,7",
fevereiro 2019,24.0,A868,Santa Catarina,"255,6","1011,6","1,7",
marco 2019,23.6,A868,Santa Catarina,"127,2","1014,3","1,4",
abril 2019,22.3,A868,Santa Catarina,"120,4","1013,4","1,3",
maio 2019,20.5,A868,Santa Catarina,179,"1014,9","1,1",
junho 2019,18.7,A868,Santa Catarina,69,"1018,7","1,2",
julho 2019,15.5,A868,Santa Catarina,"69,8","1019,2","1,4",
agosto 2019,16.5,A868,Santa Catarina,"25,4","1021,6","1,4",
setembro 2019,17.8,A868,Santa Catarina,"128,8","1017,5","1,4",
outubro 2019,21.2,A868,Santa Catarina,"101,6","1014,6","1,9",
novembro 2019,21.9,A868,Santa Catarina,185,1013,"1,9",
dezembro 2019,23.2,A868,Santa Catarina,"89,4",1012,"1,8",
janeiro 2020,24.3,A868,Santa Catarina,"130,2","1010,5","1,8",
fevereiro 2020,23.6,A868,Santa Catarina,"239,6","1013,1","1,8",
marco 2020,23.1,A868,Santa Catarina,59,"1014,9","1,6",
abril 2020,20.2,A868,Santa Catarina,"81,4","1016,2","1,6",
maio 2020,17.7,A868,Santa Catarina,28,"1016,3","1,6",
junho 2020,18.1,A868,Santa Catarina,168,"1016,9","1,3",
julho 2020,15.6,A868,Santa Catarina,"83,8",1018,"1,5",
agosto 2020,16.5,A868,Santa Catarina,"107,6","1019,5","1,4",
setembro 2020,19.1,A868,Santa Catarina,"46,8","1016,9","1,5",
outubro 2020,20.8,A868,Santa Catarina,"50,8","1014,3",2,
novembro 2020,,A868,Santa Catarina,,,,
dezembro 2020,,A868,Santa Catarina,,,,
janeiro 2021,,A868,Santa Catarina,,,,
fevereiro 2021,,A868,Santa Catarina,,,,
marco 2021,,A868,Santa Catarina,,,,
abril 2021,,A868,Santa Catarina,,,,
maio 2021,,A868,Santa Catarina,,,,
junho 2021,,A868,Santa Catarina,,,,
julho 2021,,A868,Santa Catarina,,,,
agosto 2021,17.6,A868,Santa Catarina,,1019,"1,4",
setembro 2021,18.9,A868,Santa Catarina,"90,2","1016,3","1,7",
outubro 2021,19.1,A868,Santa Catarina,"119,8","1015,5","1,9",
novembro 2021,21.2,A868,Santa Catarina,"75,8","1012,5","1,9",
dezembro 2021,22.5,A868,Santa Catarina,1,"1011,7",2,
janeiro 2022,24.4,A868,Santa Catarina,"83,2","1010,8",2,
fevereiro 2022,24.4,A868,Santa Catarina,47,"1011,5","1,9",
marco 2022,23.4,A868,Santa Catarina,"184,8","1012,3","1,6",
abril 2022,20.7,A868,Santa Catarina,73,"1014,6","1,4",
maio 2022,,A868,Santa Catarina,,,,
junho 2022,15.6,A868,Santa Catarina,"115,8","1017,5","1,2",
julho 2022,17.3,A868,Santa Catarina,19,"1017,2","1,4",
agosto 2022,16.3,A868,Santa Catarina,"158,2","1019,4","1,5",
setembro 2022,16.7,A868,Santa Catarina,"146,8","1017,8","1,6",
outubro 2022,19.8,A868,Santa Catarina,"161,6","1014,1","1,8",
novembro 2022,20.3,A868,Santa Catarina,219,"1015,3","2,3",
dezembro 2022,22.9,A868,Santa Catarina,"574,6","1010,9","1,8",
janeiro 2023,24.2,A868,Santa Catarina,57,"1011,2","1,8",
fevereiro 2023,24.2,A868,Santa Catarina,"93,2",1011,"1,6",
marco 2023,24.1,A868,Santa Catarina,"329,8","1013,2","1,6",
abril 2023,20.5,A868,Santa Catarina,"174,2","1014,6","1,3",
maio 2023,19.1,A868,Santa Catarina,"72,2","1017,6","1,1",
junho 2023,16.8,A868,Santa Catarina,"73,8","1018,5","1,4",
julho 2023,16.5,A868,Santa Catarina,"92,2","1020,2",1,
agosto 2023,17.8,A868,Santa Catarina,,"1016,2","1,5",
setembro 2023,20.0,A868,Santa Catarina,55,"1014,8","1,4",
outubro 2023,,A868,Santa Catarina,,,,
novembro 2023,21.8,A868,Santa Catarina,,,,
dezembro 2023,25.1,A868,Santa Catarina,,"1011,5","1,9",
janeiro 2024,23.8,A868,Santa Catarina,"357,6","1011,8","1,8",
fevereiro 2024,25.3,A868,Santa Catarina,"117,4","1012,9","1,6",
marco 2024,24.4,A868,Santa Catarina,"166,6","1013,1","1,6",
abril 2024,22.7,A868,Santa Catarina,261,,,
maio 2024,19.9,A868,Santa Catarina,,1014,1,
junho 2024,18.4,A868,Santa Catarina,"56,4","1016,5","1,1",
julho 2024,15.4,A868,Santa Catarina,"122,2","1021,2","1,1",
agosto 2024,15.9,A868,Santa Catarina,"24,8","1018,9","1,3",
setembro 2024,19.1,A868,Santa Catarina,"127,2","1015,6","1,4",
outubro 2024,20.9,A868,Santa Catarina,"205,6","1014,9","1,5",
novembro 2024,22.1,A868,Santa Catarina,"207,4","1012,8","1,7",
dezembro 2024,22.6,A868,Santa Catarina,"218,4",1011,"1,9",
janeiro 2014,25.1,A867,Santa Catarina,"144,6","1011,8","1,6",
fevereiro 2014,25.0,A867,Santa Catarina,"202,8","1012,3","1,9",
marco 2014,22.5,A867,Santa Catarina,"114,8","1013,4","1,5",
abril 2014,20.9,A867,Santa Catarina,"81,2","1016,4","1,8",
maio 2014,17.4,A867,Santa Catarina,"81,2","1016,8","1,4",
junho 2014,16.1,A867,Santa Catarina,,"1017,3","1,4",
julho 2014,15.6,A867,Santa Catarina,47,"1020,8","1,5",
agosto 2014,16.2,A867,Santa Catarina,"86,4","1018,4","1,6",
