Data Medicao,TemperaturaMedia C?,CodEstacao,Nome,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",n
agosto 2016,14.5,B804,Parana,,"922,9",,
setembro 2016,15.2,B804,Parana,"94,2","923,7","1,7",
outubro 2016,18.3,B804,Parana,"168,8","920,8","1,8",
novembro 2016,19.8,B804,Parana,"119,8",920,"1,7",
dezembro 2016,21.2,B804,Parana,"270,4","919,5","1,8",
janeiro 2017,21.9,B804,Parana,"125,8","920,2","1,6",
fevereiro 2017,22.0,B804,Parana,144,"920,3","1,6",
marco 2017,20.8,B804,Parana,"122,8","921,5","1,6",
abril 2017,18.0,B804,Parana,167,"922,5",,
maio 2017,17.8,B804,Parana,161,"922,5","1,5",
junho 2017,14.4,B804,Parana,"187,8","924,6","1,7",
julho 2017,12.7,B804,Parana,5,"928,6","1,7",
agosto 2017,16.4,B804,Parana,"122,2","923,3","1,8",
setembro 2017,20.4,B804,Parana,"38,6","923,8","1,8",
outubro 2017,18.6,B804,Parana,"432,2","920,2",,
novembro 2017,19.2,B804,Parana,"232,6","918,8",,
dezembro 2017,21.8,B804,Parana,"200,6","918,5","1,7",
janeiro 2018,21.2,B804,Parana,"277,4","919,7","1,8",
fevereiro 2018,20.3,B804,Parana,"83,6","920,1","1,6",
marco 2018,21.7,B804,Parana,"304,2","919,7","1,5",
abril 2018,18.9,B804,Parana,78,"923,9","1,4",
maio 2018,15.5,B804,Parana,"105,6","924,4","1,6",
junho 2018,14.3,B804,Parana,"163,2","924,7","1,7",
julho 2018,15.1,B804,Parana,"2,6","924,6","1,6",
agosto 2018,13.1,B804,Parana,"90,6","924,8","1,5",
setembro 2018,,B804,Parana,,,,
outubro 2018,,B804,Parana,,,,
novembro 2018,20.7,B804,Parana,"149,4",920,,
dezembro 2018,21.8,B804,Parana,109,"920,4",,
janeiro 2019,23.0,B804,Parana,"169,4","921,7",,
fevereiro 2019,21.2,B804,Parana,215,920,,
marco 2019,20.8,B804,Parana,"173,4","922,1",,
abril 2019,19.5,B804,Parana,"141,8","921,6",,
maio 2019,17.6,B804,Parana,"339,2","922,3",,
junho 2019,16.5,B804,Parana,"76,6","925,3",,
julho 2019,14.1,B804,Parana,33,"924,9",,
agosto 2019,15.6,B804,Parana,6,926,,
setembro 2019,19.6,B804,Parana,"59,2","922,1",,
outubro 2019,21.1,B804,Parana,183,"920,9",,
novembro 2019,21.5,B804,Parana,196,"919,2",,
dezembro 2019,21.0,B804,Parana,"183,6","919,4","1,6",
janeiro 2020,21.8,B804,Parana,140,"918,8","1,5",
fevereiro 2020,21.7,B804,Parana,"91,2","920,4","1,7",
