Unnamed: 0,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
1967,marco 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
1968,marco 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
1969,marco 2021,1.17 Trigo,Santa Catarina,50000,50000,150000,3000
1970,marco 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
1971,abril 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
1972,abril 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
1973,abril 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
1974,abril 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
1975,abril 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
1976,abril 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
1977,abril 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
1978,abril 2021,1.17 Trigo,Santa Catarina,50000,50000,150000,3000
1979,abril 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
1980,maio 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
1981,maio 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
1982,maio 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
1983,maio 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
1984,maio 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
1985,maio 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
1986,maio 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
1987,maio 2021,1.17 Trigo,Santa Catarina,50000,50000,150000,3000
1988,maio 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
1989,junho 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
1990,junho 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
1991,junho 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
1992,junho 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
1993,junho 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
1994,junho 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
1995,junho 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
1996,junho 2021,1.17 Trigo,Santa Catarina,50000,50000,150000,3000
1997,junho 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
1998,julho 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
1999,julho 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
2000,julho 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
2001,julho 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
2002,julho 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
2003,julho 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
2004,julho 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
2005,julho 2021,1.17 Trigo,Santa Catarina,84651,84651,275638,3256
2006,julho 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
2007,agosto 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
2008,agosto 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
2009,agosto 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
2010,agosto 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
2011,agosto 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
2012,agosto 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
2013,agosto 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
2014,agosto 2021,1.17 Trigo,Santa Catarina,84651,84651,275638,3256
2015,agosto 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
2016,setembro 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
2017,setembro 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
2018,setembro 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
2019,setembro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
2020,setembro 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
2021,setembro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
2022,setembro 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
2023,setembro 2021,1.17 Trigo,Santa Catarina,84651,84651,275638,3256
2024,setembro 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
2025,outubro 2021,1.4 Arroz,Santa Catarina,149235,149238,1157868,7759
2026,outubro 2021,1.8 Feijao (1 Safra),Santa Catarina,32769,32773,63453,1936
2027,outubro 2021,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34630,1539
2028,outubro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
2029,outubro 2021,1.13 Milho (1 Safra),Santa Catarina,336556,339528,2200000,6537
2030,outubro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
2031,outubro 2021,1.15 Soja,Santa Catarina,680000,680000,2343625,3447
2032,outubro 2021,1.17 Trigo,Santa Catarina,84651,84651,275638,3256
2033,outubro 2021,15 Fumo,Santa Catarina,89544,89774,193140,2157
2034,novembro 2021,1.4 Arroz,Santa Catarina,147820,147820,1196140,8092
2035,novembro 2021,1.8 Feijao (1 Safra),Santa Catarina,33562,33563,63856,1903
2036,novembro 2021,1.9 Feijao (2 Safra),Santa Catarina,25872,25874,34001,1314
2037,novembro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
2038,novembro 2021,1.13 Milho (1 Safra),Santa Catarina,335844,339310,2006862,5976
2039,novembro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
2040,novembro 2021,1.15 Soja,Santa Catarina,688997,689005,2339080,3395
2041,novembro 2021,1.17 Trigo,Santa Catarina,100090,100090,329312,3290
2042,novembro 2021,15 Fumo,Santa Catarina,89488,89718,191676,2142
2043,dezembro 2021,1.4 Arroz,Santa Catarina,147820,147820,1196140,8092
2044,dezembro 2021,1.8 Feijao (1 Safra),Santa Catarina,33562,33563,63856,1903
2045,dezembro 2021,1.9 Feijao (2 Safra),Santa Catarina,25872,25874,34001,1314
2046,dezembro 2021,1.10 Feijao (3 Safra),Santa Catarina,,,,
2047,dezembro 2021,1.13 Milho (1 Safra),Santa Catarina,335844,339310,2006862,5976
2048,dezembro 2021,1.14 Milho (2 Safra),Santa Catarina,,,,
2049,dezembro 2021,1.15 Soja,Santa Catarina,688997,689005,2339080,3395
2050,dezembro 2021,1.17 Trigo,Santa Catarina,100090,100090,329312,3290
2051,dezembro 2021,15 Fumo,Santa Catarina,89488,89718,191676,2142
2052,janeiro 2022,1.4 Arroz,Santa Catarina,148238,148238,1147352,7740
2053,janeiro 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,65325,1950
2054,janeiro 2022,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34912,1552
2055,janeiro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2056,janeiro 2022,1.13 Milho (1 Safra),Santa Catarina,344098,344098,2408686,7000
2057,janeiro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2058,janeiro 2022,1.15 Soja,Santa Catarina,727293,727293,2352183,3234
2059,janeiro 2022,1.17 Trigo,Santa Catarina,84651,84651,264619,3126
2060,janeiro 2022,15 Fumo,Santa Catarina,88419,88419,206928,2340
2061,fevereiro 2022,1.4 Arroz,Santa Catarina,148238,148238,1147352,7740
2062,fevereiro 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,65325,1950
2063,fevereiro 2022,1.9 Feijao (2 Safra),Santa Catarina,22502,22502,34912,1552
2064,fevereiro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2065,fevereiro 2022,1.13 Milho (1 Safra),Santa Catarina,344098,344098,2408686,7000
2066,fevereiro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2067,fevereiro 2022,1.15 Soja,Santa Catarina,727293,727293,2352183,3234
2068,fevereiro 2022,1.17 Trigo,Santa Catarina,84651,84651,264619,3126
2069,fevereiro 2022,15 Fumo,Santa Catarina,88419,88419,206928,2340
2070,marco 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
2071,marco 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
2072,marco 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
2073,marco 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2074,marco 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
2075,marco 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2076,marco 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
2077,marco 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
2078,marco 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
2079,abril 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
2080,abril 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
2081,abril 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
2082,abril 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2083,abril 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
2084,abril 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2085,abril 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
2086,abril 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
2087,abril 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
2088,maio 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
2089,maio 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
2090,maio 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
2091,maio 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2092,maio 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
2093,maio 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2094,maio 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
2095,maio 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
2096,maio 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
2097,junho 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
2098,junho 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
2099,junho 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
2100,junho 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2101,junho 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
2102,junho 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2103,junho 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
2104,junho 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
2105,junho 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
2106,julho 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
2107,julho 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
2108,julho 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
2109,julho 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2110,julho 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
2111,julho 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2112,julho 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
2113,julho 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
2114,julho 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
2115,agosto 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
2116,agosto 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
2117,agosto 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
2118,agosto 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2119,agosto 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
2120,agosto 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2121,agosto 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
2122,agosto 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
2123,agosto 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
2124,setembro 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
2125,setembro 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
2126,setembro 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
2127,setembro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2128,setembro 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
2129,setembro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2130,setembro 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
2131,setembro 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
2132,setembro 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
2133,outubro 2022,1.4 Arroz,Santa Catarina,148281,148281,1170689,7895
2134,outubro 2022,1.8 Feijao (1 Safra),Santa Catarina,33500,33500,52930,1580
2135,outubro 2022,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,46400,1600
2136,outubro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2137,outubro 2022,1.13 Milho (1 Safra),Santa Catarina,339257,339257,2054536,6056
2138,outubro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2139,outubro 2022,1.15 Soja,Santa Catarina,736371,736571,2022717,2747
2140,outubro 2022,1.17 Trigo,Santa Catarina,90000,90000,297000,3300
2141,outubro 2022,15 Fumo,Santa Catarina,86660,86994,188014,2170
2142,novembro 2022,1.4 Arroz,Santa Catarina,146155,146167,1177241,8055
2143,novembro 2022,1.8 Feijao (1 Safra),Santa Catarina,34571,34656,57083,1651
2144,novembro 2022,1.9 Feijao (2 Safra),Santa Catarina,33226,33332,92393,2781
2145,novembro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2146,novembro 2022,1.13 Milho (1 Safra),Santa Catarina,335904,337304,2112327,6288
2147,novembro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2148,novembro 2022,1.15 Soja,Santa Catarina,752715,754305,2163708,2875
2149,novembro 2022,1.17 Trigo,Santa Catarina,124312,124312,430670,3464
2150,novembro 2022,15 Fumo,Santa Catarina,87366,87700,192676,2205
2151,dezembro 2022,1.4 Arroz,Santa Catarina,146155,146167,1177241,8055
2152,dezembro 2022,1.8 Feijao (1 Safra),Santa Catarina,34571,34656,57083,1651
2153,dezembro 2022,1.9 Feijao (2 Safra),Santa Catarina,33226,33332,92393,2781
2154,dezembro 2022,1.10 Feijao (3 Safra),Santa Catarina,,,,
2155,dezembro 2022,1.13 Milho (1 Safra),Santa Catarina,335904,337304,2112327,6288
2156,dezembro 2022,1.14 Milho (2 Safra),Santa Catarina,,,,
2157,dezembro 2022,1.15 Soja,Santa Catarina,752715,754305,2163708,2875
2158,dezembro 2022,1.17 Trigo,Santa Catarina,124312,124312,430670,3464
2159,dezembro 2022,15 Fumo,Santa Catarina,87366,87700,192676,2205
2160,janeiro 2023,1.4 Arroz,Santa Catarina,146064,146064,1168139,7997
2161,janeiro 2023,1.8 Feijao (1 Safra),Santa Catarina,34610,34610,66753,1929
2162,janeiro 2023,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,44561,1537
2163,janeiro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2164,janeiro 2023,1.13 Milho (1 Safra),Santa Catarina,336000,336000,2587200,7700
2165,janeiro 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
2166,janeiro 2023,1.15 Soja,Santa Catarina,759824,759824,2656607,3496
2167,janeiro 2023,1.17 Trigo,Santa Catarina,90000,90000,282960,3144
2168,janeiro 2023,15 Fumo,Santa Catarina,86660,86994,189699,2189
2169,fevereiro 2023,1.4 Arroz,Santa Catarina,146064,146064,1168139,7997
2170,fevereiro 2023,1.8 Feijao (1 Safra),Santa Catarina,34610,34610,66753,1929
2171,fevereiro 2023,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,44561,1537
2172,fevereiro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2173,fevereiro 2023,1.13 Milho (1 Safra),Santa Catarina,336000,336000,2587200,7700
2174,fevereiro 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
2175,fevereiro 2023,1.15 Soja,Santa Catarina,759824,759824,2656607,3496
2176,fevereiro 2023,1.17 Trigo,Santa Catarina,90000,90000,282960,3144
2177,fevereiro 2023,15 Fumo,Santa Catarina,86660,86994,189699,2189
2178,marco 2023,1.4 Arroz,Santa Catarina,146064,146064,1168139,7997
2179,marco 2023,1.8 Feijao (1 Safra),Santa Catarina,34610,34610,66753,1929
2180,marco 2023,1.9 Feijao (2 Safra),Santa Catarina,29000,29000,44561,1537
2181,marco 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2182,marco 2023,1.13 Milho (1 Safra),Santa Catarina,336000,336000,2587200,7700
2183,marco 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
2184,marco 2023,1.15 Soja,Santa Catarina,759824,759824,2656607,3496
2185,marco 2023,1.17 Trigo,Santa Catarina,90000,90000,282960,3144
2186,marco 2023,15 Fumo,Santa Catarina,86660,86994,189699,2189
2187,abril 2023,1.4 Arroz,Santa Catarina,143846,143846,1173399,8157
2188,abril 2023,1.8 Feijao (1 Safra),Santa Catarina,32651,32656,66298,2031
2189,abril 2023,1.9 Feijao (2 Safra),Santa Catarina,28848,28882,54391,1885
2190,abril 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2191,abril 2023,1.13 Milho (1 Safra),Santa Catarina,328576,328720,2604724,7927
2192,abril 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
2193,abril 2023,1.15 Soja,Santa Catarina,770392,771642,2877541,3735
2194,abril 2023,1.17 Trigo,Santa Catarina,114563,114563,373837,3263
2195,abril 2023,15 Fumo,Santa Catarina,85909,86239,193764,2255
2196,maio 2023,1.4 Arroz,Santa Catarina,143846,143846,1173399,8157
2197,maio 2023,1.8 Feijao (1 Safra),Santa Catarina,32651,32656,66298,2031
2198,maio 2023,1.9 Feijao (2 Safra),Santa Catarina,28848,28882,54391,1885
2199,maio 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2200,maio 2023,1.13 Milho (1 Safra),Santa Catarina,328576,328720,2604724,7927
2201,maio 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
2202,maio 2023,1.15 Soja,Santa Catarina,770392,771642,2877541,3735
2203,maio 2023,1.17 Trigo,Santa Catarina,114563,114563,373837,3263
2204,maio 2023,15 Fumo,Santa Catarina,85909,86239,193764,2255
2205,junho 2023,1.4 Arroz,Santa Catarina,143846,143846,1173399,8157
2206,junho 2023,1.8 Feijao (1 Safra),Santa Catarina,32651,32656,66298,2031
2207,junho 2023,1.9 Feijao (2 Safra),Santa Catarina,28848,28882,54391,1885
2208,junho 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2209,junho 2023,1.13 Milho (1 Safra),Santa Catarina,328576,328720,2604724,7927
2210,junho 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
2211,junho 2023,1.15 Soja,Santa Catarina,770392,771642,2877541,3735
2212,junho 2023,1.17 Trigo,Santa Catarina,114563,114563,373837,3263
2213,junho 2023,15 Fumo,Santa Catarina,85909,86239,193764,2255
2214,julho 2023,1.4 Arroz,Santa Catarina,143846,143846,1173399,8157
2215,julho 2023,1.8 Feijao (1 Safra),Santa Catarina,32651,32656,66298,2031
2216,julho 2023,1.9 Feijao (2 Safra),Santa Catarina,28848,28882,54391,1885
2217,julho 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2218,julho 2023,1.13 Milho (1 Safra),Santa Catarina,328576,328720,2604724,7927
2219,julho 2023,1.14 Milho (2 Safra),Santa Catarina,,,,
2220,julho 2023,1.15 Soja,Santa Catarina,770392,771642,2877541,3735
2221,julho 2023,1.17 Trigo,Santa Catarina,114563,114563,373837,3263
2222,julho 2023,15 Fumo,Santa Catarina,85909,86239,193764,2255
2223,agosto 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
2224,agosto 2023,1.8 Feijao (1 Safra),Santa Catarina,30601,30706,64299,2101
2225,agosto 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
2226,agosto 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2227,agosto 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532372,7998
2228,agosto 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
2229,agosto 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
2230,agosto 2023,1.17 Trigo,Santa Catarina,130940,130940,420617,3212
2231,agosto 2023,15 Fumo,Santa Catarina,86091,86421,200922,2334
2232,setembro 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
2233,setembro 2023,1.8 Feijao (1 Safra),Santa Catarina,30601,30706,64299,2101
2234,setembro 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
2235,setembro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2236,setembro 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532372,7998
2237,setembro 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
2238,setembro 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
2239,setembro 2023,1.17 Trigo,Santa Catarina,130940,130940,420617,3212
2240,setembro 2023,15 Fumo,Santa Catarina,86091,86421,200922,2334
2241,outubro 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
2242,outubro 2023,1.8 Feijao (1 Safra),Santa Catarina,30601,30706,64299,2101
2243,outubro 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
2244,outubro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2245,outubro 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532372,7998
2246,outubro 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
2247,outubro 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
2248,outubro 2023,1.17 Trigo,Santa Catarina,130940,130940,420617,3212
2249,outubro 2023,15 Fumo,Santa Catarina,86091,86421,200922,2334
2250,novembro 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
2251,novembro 2023,1.8 Feijao (1 Safra),Santa Catarina,30601,30706,64299,2101
2252,novembro 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
2253,novembro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2254,novembro 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532215,7998
2255,novembro 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
2256,novembro 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
2257,novembro 2023,1.17 Trigo,Santa Catarina,129275,132370,361830,2799
2258,novembro 2023,15 Fumo,Santa Catarina,86012,86342,198823,2312
2259,dezembro 2023,1.4 Arroz,Santa Catarina,142744,143044,1215419,8515
2260,dezembro 2023,1.8 Feijao (1 Safra),Santa Catarina,30661,30766,64407,2101
2261,dezembro 2023,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,51188,1805
2262,dezembro 2023,1.10 Feijao (3 Safra),Santa Catarina,,,,
2263,dezembro 2023,1.13 Milho (1 Safra),Santa Catarina,316606,316750,2532215,7998
2264,dezembro 2023,1.14 Milho (2 Safra),Santa Catarina,11230,11230,57171,5091
2265,dezembro 2023,1.15 Soja,Santa Catarina,775849,777099,2972269,3831
2266,dezembro 2023,1.17 Trigo,Santa Catarina,129445,132540,362544,2801
2267,dezembro 2023,15 Fumo,Santa Catarina,86012,86342,198823,2312
2268,janeiro 2024,1.4 Arroz,Santa Catarina,143600,143610,1168097,8134
2269,janeiro 2024,1.8 Feijao (1 Safra),Santa Catarina,28849,28976,57056,1978
2270,janeiro 2024,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,45341,1599
2271,janeiro 2024,1.10 Feijao (3 Safra),Santa Catarina,,,,
2272,janeiro 2024,1.13 Milho (1 Safra),Santa Catarina,292319,292552,2337628,7997
2273,janeiro 2024,1.14 Milho (2 Safra),Santa Catarina,13440,13440,81573,6069
2274,janeiro 2024,1.15 Soja,Santa Catarina,801383,801433,3012334,3759
2275,janeiro 2024,1.17 Trigo,Santa Catarina,130940,130940,415080,3170
2276,janeiro 2024,15 Fumo,Santa Catarina,85852,86205,173035,2016
2277,fevereiro 2024,1.4 Arroz,Santa Catarina,143600,143610,1168097,8134
2278,fevereiro 2024,1.8 Feijao (1 Safra),Santa Catarina,28849,28976,57056,1978
2279,fevereiro 2024,1.9 Feijao (2 Safra),Santa Catarina,28354,28388,45341,1599
2280,fevereiro 2024,1.10 Feijao (3 Safra),Santa Catarina,,,,
2281,fevereiro 2024,1.13 Milho (1 Safra),Santa Catarina,292319,292552,2337628,7997
2282,fevereiro 2024,1.14 Milho (2 Safra),Santa Catarina,13440,13440,81573,6069
2283,fevereiro 2024,1.15 Soja,Santa Catarina,801383,801433,3012334,3759
2284,fevereiro 2024,1.17 Trigo,Santa Catarina,130940,130940,415080,3170
2285,fevereiro 2024,15 Fumo,Santa Catarina,85852,86205,173035,2016
2286,marco 2024,1.4 Arroz,Santa Catarina,143057,143057,1115533,7798
2287,marco 2024,1.8 Feijao (1 Safra),Santa Catarina,27745,28010,49827,1796
2288,marco 2024,1.9 Feijao (2 Safra),Santa Catarina,34004,34259,65766,1934
2289,marco 2024,1.10 Feijao (3 Safra),Santa Catarina,,,,
2290,marco 2024,1.13 Milho (1 Safra),Santa Catarina,285410,285864,2012141,7050
2291,marco 2024,1.14 Milho (2 Safra),Santa Catarina,9652,9652,55312,5731
2292,marco 2024,1.15 Soja,Santa Catarina,802310,802310,2885251,3596
2293,marco 2024,1.17 Trigo,Santa Catarina,130940,130940,415080,3170
2294,marco 2024,15 Fumo,Santa Catarina,86523,86546,164407,1900
2295,abril 2024,1.4 Arroz,Santa Catarina,143057,143057,1115533,7798
2296,abril 2024,1.8 Feijao (1 Safra),Santa Catarina,27745,28010,49827,1796
2297,abril 2024,1.9 Feijao (2 Safra),Santa Catarina,34004,34259,65766,1934
2298,abril 2024,1.10 Feijao (3 Safra),Santa Catarina,,,,
2299,abril 2024,1.13 Milho (1 Safra),Santa Catarina,285410,285864,2012141,7050
2300,abril 2024,1.14 Milho (2 Safra),Santa Catarina,9652,9652,55312,5731
2301,abril 2024,1.15 Soja,Santa Catarina,802310,802310,2885251,3596
2302,abril 2024,1.17 Trigo,Santa Catarina,130940,130940,415080,3170
2303,abril 2024,15 Fumo,Santa Catarina,86523,86546,164407,1900
2304,maio 2024,1.4 Arroz,Santa Catarina,143057,143057,1115533,7798
2305,maio 2024,1.8 Feijao (1 Safra),Santa Catarina,27745,28010,49827,1796
2306,maio 2024,1.9 Feijao (2 Safra),Santa Catarina,34004,34259,65766,1934
2307,maio 2024,1.10 Feijao (3 Safra),Santa Catarina,,,,
2308,maio 2024,1.13 Milho (1 Safra),Santa Catarina,285410,285864,2012141,7050
2309,maio 2024,1.14 Milho (2 Safra),Santa Catarina,9652,9652,55312,5731
2310,maio 2024,1.15 Soja,Santa Catarina,802310,802310,2885251,3596
