Unnamed: 0,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
187,setembro 2015,1.17 Trigo,Parana,1335678,,3606878,2700
188,setembro 2015,15 Fumo,Parana,78189,,184636,2361
189,outubro 2015,1.4 Arroz,Parana,28144,,164543,5846
190,outubro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
191,outubro 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
192,outubro 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
193,outubro 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
194,outubro 2015,1.14 Milho (2 Safra),Parana,1924854,,11284993,5863
195,outubro 2015,1.15 Soja,Parana,5207082,,17145020,3293
196,outubro 2015,1.17 Trigo,Parana,1337637,,3535959,2643
197,outubro 2015,15 Fumo,Parana,78189,,184636,2361
198,novembro 2015,1.4 Arroz,Parana,28144,,164543,5846
199,novembro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
200,novembro 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
201,novembro 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
202,novembro 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
203,novembro 2015,1.14 Milho (2 Safra),Parana,1924854,,11284993,5863
204,novembro 2015,1.15 Soja,Parana,5207082,,17145020,3293
205,novembro 2015,1.17 Trigo,Parana,1336887,,3427466,2564
206,novembro 2015,15 Fumo,Parana,78189,,184636,2361
207,dezembro 2015,1.4 Arroz,Parana,28144,,164543,5846
208,dezembro 2015,1.8 Feijao (1 Safra),Parana,192762,,332147,1723
209,dezembro 2015,1.9 Feijao (2 Safra),Parana,209915,,392083,1868
210,dezembro 2015,1.10 Feijao (3 Safra),Parana,5110,,4840,947
211,dezembro 2015,1.13 Milho (1 Safra),Parana,542386,,4688823,8645
212,dezembro 2015,1.14 Milho (2 Safra),Parana,1924854,,11284993,5863
213,dezembro 2015,1.15 Soja,Parana,5207082,,17145020,3293
214,dezembro 2015,1.17 Trigo,Parana,1339889,,3333171,2488
215,dezembro 2015,15 Fumo,Parana,78189,,184636,2361
216,janeiro 2016,1.4 Arroz,Parana,26306,,148799,5656
217,janeiro 2016,1.8 Feijao (1 Safra),Parana,180474,,325814,1805
218,janeiro 2016,1.9 Feijao (2 Safra),Parana,272197,,401054,1473
219,janeiro 2016,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
220,janeiro 2016,1.13 Milho (1 Safra),Parana,429231,,3692023,8601
221,janeiro 2016,1.14 Milho (2 Safra),Parana,1897198,,10378043,5470
222,janeiro 2016,1.15 Soja,Parana,5373198,,18297273,3405
223,janeiro 2016,1.17 Trigo,Parana,1356958,,3869723,2852
224,janeiro 2016,15 Fumo,Parana,73606,,171000,2323
225,fevereiro 2016,1.4 Arroz,Parana,26286,,148467,5648
226,fevereiro 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
227,fevereiro 2016,1.9 Feijao (2 Safra),Parana,210492,,406945,1933
228,fevereiro 2016,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
229,fevereiro 2016,1.13 Milho (1 Safra),Parana,423471,,3522269,8318
230,fevereiro 2016,1.14 Milho (2 Safra),Parana,2063415,,11999966,5816
231,fevereiro 2016,1.15 Soja,Parana,5375431,,17768012,3305
232,fevereiro 2016,1.17 Trigo,Parana,1356958,,3869723,2852
233,fevereiro 2016,15 Fumo,Parana,73706,,157007,2130
234,marco 2016,1.4 Arroz,Parana,26260,,141857,5402
235,marco 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
236,marco 2016,1.9 Feijao (2 Safra),Parana,210816,,410103,1945
237,marco 2016,1.10 Feijao (3 Safra),Parana,2676,,4738,1771
238,marco 2016,1.13 Milho (1 Safra),Parana,423890,,3448940,8136
239,marco 2016,1.14 Milho (2 Safra),Parana,2153483,,12638803,5869
240,marco 2016,1.15 Soja,Parana,5442435,,17193813,3159
241,marco 2016,1.17 Trigo,Parana,1198205,,3600164,3005
242,marco 2016,15 Fumo,Parana,73715,,148992,2021
243,abril 2016,1.4 Arroz,Parana,26260,,141857,5402
244,abril 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
245,abril 2016,1.9 Feijao (2 Safra),Parana,210816,,410103,1945
246,abril 2016,1.10 Feijao (3 Safra),Parana,2676,,4738,1771
247,abril 2016,1.13 Milho (1 Safra),Parana,423695,,3409668,8047
248,abril 2016,1.14 Milho (2 Safra),Parana,2207068,,12398712,5618
249,abril 2016,1.15 Soja,Parana,5445370,,17100496,3140
250,abril 2016,1.17 Trigo,Parana,1155605,,3476333,3008
251,abril 2016,15 Fumo,Parana,73715,,148992,2021
252,maio 2016,1.4 Arroz,Parana,26254,,141771,5400
253,maio 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
254,maio 2016,1.9 Feijao (2 Safra),Parana,205459,,318262,1549
255,maio 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
256,maio 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
257,maio 2016,1.14 Milho (2 Safra),Parana,2205925,,12209986,5535
