Country,Region,Year,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Decade,Regional Happiness Ratio,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Region_nan
Ecuador,Western Europe,2019,50,6.028,0.4351145038167939,0.7980535279805353,0.7607361963190185,0.6878453038674033,0.1503445106911754,0.15763439691254008,2010,1.1148312936347888,False,False,False,False,False,False,False,False,False,True,False
Kuwait,Western Europe,2019,51,6.021,0.7156488549618321,0.8023114355231143,0.708150744960561,0.680939226519337,0.16943587712815006,0.17575329310938378,2010,1.1135366985691877,False,False,False,False,False,False,False,False,False,True,False
Thailand,Western Europe,2019,52,6.008,0.5009541984732824,0.8570559610705597,0.7256792287467134,0.7693370165745858,0.42836253442961886,0.05073290935116233,2010,1.1111324505902143,False,False,False,False,False,False,False,False,False,True,False
Latvia,Western Europe,2019,53,5.94,0.5663167938931297,0.8911192214111923,0.7116564417177914,0.36464088397790057,0.0894907801733187,0.1159609356597996,2010,1.0985563842386608,False,False,False,False,False,False,False,False,False,True,False
South Korea,Western Europe,2019,54,5.895,0.620706106870229,0.7414841849148419,0.9079754601226994,0.21961325966850828,0.2088118204044103,0.10146581870232466,2010,1.0902339873883675,False,False,False,False,False,False,False,False,False,True,False
Estonia,Western Europe,2019,55,5.893,0.5901717557251909,0.929440389294404,0.7659947414548641,0.6837016574585636,0.12290067143802434,0.2917142287691834,2010,1.0898641030839102,False,False,False,False,False,False,False,False,False,True,False
Jamaica,Western Europe,2019,56,5.89,0.39646946564885494,0.8990267639902677,0.7283085013146362,0.6767955801104972,0.127673513047268,0.05073290935116233,2010,1.0893092766272239,False,False,False,False,False,False,False,False,False,True,False
Mauritius,Western Europe,2019,57,5.888,0.5343511450381679,0.8527980535279805,0.6993865030674847,0.6878453038674033,0.25654023649684693,0.10871337718106212,2010,1.0889393923227666,False,False,False,False,False,False,False,False,False,True,False
Japan,Western Europe,2019,58,5.886,0.6331106870229007,0.8631386861313869,0.953549517966696,0.6146408839779006,0.08233151775945322,0.2536645467558117,2010,1.088569508018309,False,False,False,False,False,False,False,False,False,True,False
Honduras,Western Europe,2019,59,5.86,0.3062977099236641,0.7518248175182483,0.7256792287467134,0.7002762430939227,0.2935297589684853,0.14132739033538078,2010,1.0837610120603622,False,False,False,False,False,False,False,False,False,True,False
Kazakhstan,Western Europe,2019,60,5.809,0.5596374045801527,0.9172749391727495,0.6389132340052586,0.5662983425414364,0.17420871873739371,0.17394140348969941,2010,1.074328962296697,False,False,False,False,False,False,False,False,False,True,False
Bolivia,Western Europe,2019,61,5.779,0.3702290076335878,0.7354014598540147,0.6187554776511831,0.7058011049723757,0.1634698251165955,0.1159609356597996,2010,1.0687806977298349,False,False,False,False,False,False,False,False,False,True,False
Hungary,Western Europe,2019,62,5.758,0.5729961832061069,0.8576642335766423,0.7256792287467134,0.27486187845303867,0.0966500425871842,0.03623779239368738,2010,1.0648969125330316,False,False,False,False,False,False,False,False,False,True,False
Paraguay,Western Europe,2019,63,5.743,0.4079198473282442,0.8972019464720196,0.6809815950920246,0.7099447513812155,0.21955071402520854,0.14495116957474952,2010,1.0621227802496007,False,False,False,False,False,False,False,False,False,True,False
North Cyprus,Western Europe,2019,64,5.718,0.6025763358778625,0.7615571776155718,0.9132340052585451,0.5759668508287292,0.22790318684138497,0.2935261183888678,2010,1.0574992264438823,False,False,False,False,False,False,False,False,False,True,False
Peru,Western Europe,2019,65,5.697,0.45801526717557245,0.7749391727493918,0.7484662576687117,0.6284530386740332,0.09903646339180604,0.04892101973147796,2010,1.053615441247079,False,False,False,False,False,False,False,False,False,True,False
Portugal,Western Europe,2019,66,5.693,0.5825381679389313,0.8704379562043797,0.8755477651183172,0.7016574585635359,0.056080888908613055,0.045297240492109224,2010,1.052875672638164,False,False,False,False,False,False,False,False,False,True,False
Pakistan,Western Europe,2019,67,5.653,0.32299618320610685,0.5389294403892945,0.46888694127957936,0.4323204419889503,0.2625062885084015,0.17756518272906816,2010,1.0454779865490147,False,False,False,False,False,False,False,False,False,True,False
Russia,Western Europe,2019,68,5.648,0.5644083969465649,0.8832116788321168,0.6362839614373357,0.4613259668508288,0.09784325298949512,0.05616857821021543,2010,1.044553275787871,False,False,False,False,False,False,False,False,False,True,False
Philippines,Western Europe,2019,69,5.631,0.38501908396946566,0.7864963503649635,0.5758106923751096,0.770718232044199,0.1396056170703772,0.19387218930622746,2010,1.0414092591999828,False,False,False,False,False,False,False,False,False,True,False
Serbia,Western Europe,2019,70,5.603,0.4790076335877862,0.8412408759124088,0.7484662576687117,0.3895027624309392,0.1634698251165955,0.07066369516769039,2010,1.0362308789375783,False,False,False,False,False,False,False,False,False,True,False
Moldova,Western Europe,2019,71,5.529,0.3268129770992366,0.807785888077859,0.6476774758983348,0.3383977900552486,0.2159710828182758,0.0,2010,1.0225451596726522,False,False,False,False,False,False,False,False,False,True,False
Libya,Western Europe,2019,72,5.525,0.4980916030534351,0.7925790754257908,0.5898334794040316,0.574585635359116,0.15869698350735184,0.27540722219202407,2010,1.0218053910637375,False,False,False,False,False,False,False,False,False,True,False
Montenegro,Western Europe,2019,73,5.523,0.5014312977099236,0.8278588807785888,0.7633654688869412,0.27209944751381215,0.16943587712815006,0.14495116957474952,2010,1.0214355067592797,False,False,False,False,False,False,False,False,False,True,False
Tajikistan,Western Europe,2019,74,5.467,0.2352099236641221,0.6678832116788322,0.6292725679228747,0.537292817679558,0.2744383925315107,0.2609121052345491,2010,1.0110787462344708,False,False,False,False,False,False,False,False,False,True,False
Croatia,Western Europe,2019,75,5.432,0.5510496183206106,0.7700729927007299,0.8010517090271692,0.4088397790055249,0.141992037874999,0.03986157163305611,2010,1.0046057709064655,False,False,False,False,False,False,False,False,False,True,False
Hong Kong,Western Europe,2019,76,5.43,0.6860687022900762,0.7767639902676399,0.9833479404031552,0.6077348066298343,0.3078482837962163,0.5200123208494138,2010,1.0042358866020078,False,False,False,False,False,False,False,False,False,True,False
Dominican Republic,Western Europe,2019,77,5.425,0.4842557251908396,0.8521897810218979,0.6827344434706398,0.68646408839779,0.1348327754611335,0.18300085158812127,2010,1.0033111758408642,False,False,False,False,False,False,False,False,False,True,False
Bosnia and Herzegovina,Western Europe,2019,78,5.386,0.45085877862595414,0.7372262773722628,0.740578439964943,0.292817679558011,0.3138143358077709,0.010871337718106213,2010,0.9960984319039438,False,False,False,False,False,False,False,False,False,True,False
